Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
81,81,81,81,81,81,81,81,81,81,81,81,81,81,1-7682,16,1-7682,11,141,27,0,39,44.24303510785103,0.3137803908358229
206,206,206,206,206,206,206,206,206,206,206,206,206,206,1-8544,11,1-8544,8,54,8,0,20,16.84258210659027,0.31189966864056057
64,64,64,64,64,64,64,64,64,64,64,64,64,64,MLG29,11,MLG29,7,164,35,0,36,50.91664779186249,0.31046736458452734
467,467,467,467,467,467,467,467,467,467,467,467,467,467,1-0031,15,1-0031,13,13,4,0,0,4.0,0.3076923076923077
286,286,286,286,286,286,286,286,286,286,286,286,286,286,1-1770,16,1-1770,11,35,8,0,6,10.652774631977081,0.30436498948505947
337,337,337,337,337,337,337,337,337,337,337,337,337,337,1-6532,19,1-6532,9,27,6,0,5,8.210645526647568,0.30409798246842845
54,54,54,54,54,54,54,54,54,54,54,54,54,54,1-1350,16,1-1350,11,195,34,0,57,59.20135900378227,0.3035967128399091
71,71,71,71,71,71,71,71,71,71,71,71,71,71,1-4417,22,1-4417,18,151,21,0,56,45.75922989845276,0.30304125760564743
308,308,308,308,308,308,308,308,308,308,308,308,308,308,1-4700,20,1-4700,8,31,4,0,12,9.305549263954163,0.3001790085146504
157,157,157,157,157,157,157,157,157,157,157,157,157,157,1-17733,10,1-17733,6,74,8,0,32,22.148131370544434,0.2992990725749248
439,439,439,439,439,439,439,439,439,439,439,439,439,439,1-4682,14,1-4682,16,16,3,0,4,4.768516421318054,0.2980322763323784
34,34,34,34,34,34,34,34,34,34,34,34,34,34,MLG51,14,MLG51,16,248,48,0,58,73.64348810911179,0.29694954882706365
101,101,101,101,101,101,101,101,101,101,101,101,101,101,1-18371,18,1-18371,10,120,9,0,60,35.52774631977081,0.2960645526647568
9,9,9,9,9,9,9,9,9,9,9,9,9,9,1-3523,7,1-3523,3,543,92,0,150,158.31936579942703,0.29156420957537205
84,84,84,84,84,84,84,84,84,84,84,84,84,84,1-2382,8,1-2382,4,139,25,0,31,38.70600226521492,0.27846044795118646
77,77,77,77,77,77,77,77,77,77,77,77,77,77,1-9674,10,1-9674,6,144,33,0,16,40.07406568527222,0.2782921228143904
43,43,43,43,43,43,43,43,43,43,43,43,43,43,MLG14,6,MLG14,2,232,56,0,18,63.958323895931244,0.2756824305859105
91,91,91,91,91,91,91,91,91,91,91,91,91,91,1-9270,13,1-9270,14,128,22,0,30,35.26387315988541,0.27549900906160474
233,233,233,233,233,233,233,233,233,233,233,233,233,233,1-3587,15,1-3587,13,46,10,0,6,12.652774631977081,0.2750603180864583
23,23,23,23,23,23,23,23,23,23,23,23,23,23,1-7866,7,1-7866,3,318,28,0,134,87.24530011415482,0.27435628966715353
