Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.2,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,1-6692,17,18,1-6692,71,12,0,25,15.997725248336792,0.2253200739202365
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,20,19,MLG52,125,26,0,13,28.078817129135132,0.22463053703308106
176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,1-8042,12,5,1-8042,52,11,0,3,11.479727029800415,0.22076398134231567
450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,1-2297,21,4,1-2297,25,5,0,3,5.479727029800415,0.2191890811920166
417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,1-10451,8,20,1-10451,46,7,0,19,10.038271188735962,0.21822328671165134
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,1-5043,13,8,1-5043,123,23,0,24,26.83781623840332,0.21819362795449854
473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,1-9452,14,3,1-9452,16,3,0,3,3.479727029800415,0.21748293936252594
464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,1-10060,5,1,1-10060,36,4,0,23,7.677907228469849,0.21327520079082912
203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,1-1250,14,3,1-1250,34,5,0,14,7.2387261390686035,0.212903709972606
385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,1-6974,7,9,1-6974,207,40,0,24,43.83781623840332,0.21177689004059574
257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,1-9504,12,13,1-9504,30,6,0,2,6.319818019866943,0.21066060066223144
250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,1-9333,17,18,1-9333,102,12,0,57,21.114813566207886,0.207007976139293
483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,1-9491,22,5,1-9491,80,14,0,16,16.558544158935547,0.20698180198669433
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1-4499,8,20,1-4499,12,2,0,3,2.479727029800415,0.20664391915003458
426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,1-4355,15,5,1-4355,49,9,0,7,10.119363069534302,0.20651761366396534
337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,1-18613,10,17,1-18613,25,5,0,1,5.159909009933472,0.20639636039733886
365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,MLG48,19,19,MLG48,159,32,0,5,32.79954504966736,0.2062864468532538
447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,1-7152,7,9,1-7152,109,20,0,15,22.398635149002075,0.205492065587175
246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,MLG56,11,2,MLG56,511,89,0,99,104.8309919834137,0.2051487122963086
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,21,4,1-6980,128,26,0,1,26.15990900993347,0.20437428914010525
383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,1-8551,23,16,1-8551,38,6,0,11,7.7589991092681885,0.20418418708600497
531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,1-5891,14,3,1-5891,96,16,0,21,19.358089208602905,0.2016467625896136
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,MLG58,16,15,MLG58,71,13,0,8,14.279272079467773,0.20111650816151794
88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,1-5626,20,19,1-5626,125,24,0,7,25.1193630695343,0.2009549045562744
396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,1-9963,13,8,1-9963,116,18,0,33,23.276997327804565,0.20066377006728073
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,18,21,1-9379,58,10,0,10,11.599090099334717,0.19998431205749512
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1-8084,13,8,1-8084,82,14,0,15,16.398635149002075,0.19998335547563506
494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,1-3265,4,12,1-3265,19,3,0,5,3.7995450496673584,0.19997605524565043
314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,1-3139,9,10,1-3139,93,12,0,41,18.55626940727234,0.19952977857282084
499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,8,17,1-8627,25,4,0,6,4.95945405960083,0.1983781623840332
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1-4020,1,22,1-4020,37,7,0,2,7.319818019866943,0.19783291945586334
320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,MLG13,8,20,MLG13,140,18,0,60,27.5945405960083,0.19710386140005928
509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,1-18935,20,19,1-18935,30,5,0,5,5.799545049667358,0.19331816832224527
378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,1-6561,13,8,1-6561,65,10,0,16,12.558544158935547,0.1932083716759315
407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,1-8421,13,8,1-8421,109,18,0,18,20.87836217880249,0.19154460714497698
304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,1-19004,10,17,1-19004,60,11,0,3,11.479727029800415,0.19132878383000693
414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,1-8285,22,5,1-8285,72,12,0,11,13.758999109268188,0.19109720985094705
547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,MLG67,4,19,MLG67,27,4,0,7,5.119363069534302,0.18960603961238154
310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,1-4855,11,21,1-4855,22,4,0,1,4.159909009933472,0.18908677317879416
346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,MLG32,8,20,MLG32,52,9,0,5,9.799545049667358,0.18845278941667998
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1-0405,1,22,1-0405,64,0,0,75,11.993175745010376,0.18739337101578712
474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,1-8400,16,15,1-8400,33,6,0,1,6.159909009933472,0.18666390939192337
488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,1-11350,6,7,1-11350,100,17,0,10,18.599090099334717,0.18599090099334717
506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,1-6227,11,13,1-6227,52,8,0,10,9.599090099334717,0.18459788652566764
379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,1-4640,23,16,1-4640,87,13,0,19,16.038271188735962,0.1843479446981145
413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,1-8314,8,3,1-8314,36,1,0,35,6.596815347671509,0.18324487076865303
171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,1-8100,23,16,1-8100,19,3,0,3,3.479727029800415,0.18314352788423238
233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,MLG07,15,11,MLG07,90,16,0,3,16.479727029800415,0.1831080781088935
214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,1-0053,12,13,1-0053,142,24,0,12,25.91890811920166,0.18252752196620886
248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,1-2400,23,16,1-2400,49,7,0,12,8.91890811920166,0.18201853304493185
316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,1-7441,8,20,1-7441,111,13,0,45,20.195905447006226,0.18194509411717322
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,72-12171,9,10,72-12171,19,2,0,9,3.439181089401245,0.18100953102111816
436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,1-5161,20,19,1-5161,12,2,0,1,2.1599090099334717,0.17999241749445596
352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,MLG63,14,3,MLG63,380,48,0,125,67.98862624168396,0.17891743747811567
462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,1-1183,21,4,1-1183,45,5,0,19,8.038271188735962,0.17862824863857693
400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1-18709,1,22,1-18709,33,5,0,5,5.799545049667358,0.17574378938385934
481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,1-10038,11,2,1-10038,76,13,0,2,13.319818019866943,0.17526076341930188
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,1-9630,13,8,1-9630,33,4,0,11,5.7589991092681885,0.17451512452327844
540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,1-5413,21,4,1-5413,39,6,0,5,6.799545049667358,0.1743473089658297
198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,1-9839,15,11,1-9839,20,3,0,3,3.479727029800415,0.17398635149002076
510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,1-3206,12,21,1-3206,45,7,0,5,7.799545049667358,0.1733232233259413
501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,1-18487,16,8,1-18487,23,3,0,6,3.95945405960083,0.1721501765043839
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,1-1258,13,8,1-1258,435,58,0,104,74.63053703308105,0.17156445294961162
344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,1-6035,3,14,1-6035,23,2,0,12,3.91890811920166,0.17038730953050696
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,1-7467,6,7,1-7467,64,8,0,18,10.87836217880249,0.1699744090437889
429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,1-6693,12,13,1-6693,98,16,0,4,16.639636039733887,0.1697922044870805
224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,1-9227,9,10,1-9227,801,70,0,410,135.5626940727234,0.16924181532175206
232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,1-18371,7,18,1-18371,120,15,0,33,20.276997327804565,0.16897497773170472
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,20,22,P-16616,28,2,0,17,4.7184531688690186,0.16851618460246495
406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,1-17907,23,16,1-17907,119,13,0,44,20.035996437072754,0.16836971795859457
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1-8222,9,10,1-8222,12,2,0,0,2.0,0.16666666666666666
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1-18603,17,18,1-18603,19,3,0,1,3.1599090099334717,0.1663110005228143
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,1-18498,18,21,1-18498,13,2,0,1,2.1599090099334717,0.16614684691795936
264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,P-0009,19,6,P-0009,7,1,0,1,1.1599090099334717,0.1657012871333531
147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,1-17657,3,14,1-17657,8,1,0,2,1.3198180198669434,0.16497725248336792
183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,1-9496,3,14,1-9496,39,4,0,15,6.398635149002075,0.16406756792313013
411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,MLG15,1,22,MLG15,105,5,0,76,17.153084754943848,0.16336271195184618
209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,1-9938,5,1,1-9938,55,8,0,6,8.95945405960083,0.1628991647200151
333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,1-11329,1,22,1-11329,14,1,0,8,2.2792720794677734,0.16280514853341238
244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,MLG57,14,3,MLG57,629,69,0,208,102.26107406616211,0.162577224270528
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,1-5355,13,8,1-5355,53,7,0,10,8.599090099334717,0.1622469830063154
322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,1-0296,10,17,1-0296,41,6,0,4,6.639636039733887,0.16194234243253383
542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,1-1191,19,6,1-1191,53,6,0,16,8.558544158935547,0.16148196526293485
267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,1-6181,4,12,1-6181,659,68,0,240,106.3781623840332,0.161423615150278
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1-6532,6,9,1-6532,27,4,0,2,4.319818019866943,0.15999325999507197
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,1-7807,23,16,1-7807,239,28,0,63,38.074267625808716,0.15930655910380215
453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,1-8397,3,14,1-8397,51,3,0,32,8.117088317871094,0.15915859446806066
479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,1-9286,14,3,1-9286,81,9,0,24,12.83781623840332,0.15849155849880642
208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,1-10468,5,1,1-10468,549,76,0,67,86.7139036655426,0.15794882270590638
348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,1-17758,1,22,1-17758,40,5,0,8,6.279272079467773,0.15698180198669434
268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,MLG44,3,14,MLG44,59,7,0,14,9.238726139068604,0.1565885786282814
347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,1-8188,21,4,1-8188,140,12,0,62,21.914358615875244,0.15653113297053745
272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,1-1570,13,8,1-1570,142,15,0,45,22.195905447006226,0.15630919328877624
301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,1-1177,3,14,1-1177,17,2,0,4,2.6396360397338867,0.1552727082196404
408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,MLG53,7,9,MLG53,91,13,0,7,14.119363069534302,0.15515783592894838
334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,1-20641,3,14,1-20641,16,2,0,3,2.479727029800415,0.15498293936252594
185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,1-8906,11,2,1-8906,15,2,0,2,2.3198180198669434,0.15465453465779622
279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,MLG43,10,2,MLG43,14,2,0,1,2.1599090099334717,0.15427921499524797
371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,1-1580,6,7,1-1580,400,55,0,38,61.076542377471924,0.1526913559436798
266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,1-2103,21,4,1-2103,26,3,0,6,3.95945405960083,0.1522866946000319
241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,1-19448,8,20,1-19448,45,6,0,5,6.799545049667358,0.15110100110371907
285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,1-18615,8,20,1-18615,22,3,0,2,3.3198180198669434,0.15090081908486105
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1-9722,17,18,1-9722,22,3,0,2,3.3198180198669434,0.15090081908486105
294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,1-3509,4,12,1-3509,35,4,0,8,5.279272079467773,0.15083634512765068
493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,1-1836,18,21,1-1836,20,3,0,0,3.0,0.15
163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,1-9137,1,22,1-9137,111,0,0,104,16.630537033081055,0.14982465795568517
335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,1-8910,20,19,1-8910,137,12,0,52,20.315268516540527,0.14828663150759508
321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,1-5172,13,8,1-5172,120,16,0,11,17.75899910926819,0.14799165924390156
195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,1-2670,2,24,1-2670,104,0,0,96,15.351264953613281,0.14760831686166617
136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,1-9549,1,22,1-9549,18,2,0,4,2.6396360397338867,0.1466464466518826
438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,MLG10,16,11,MLG10,60,7,0,11,8.758999109268188,0.14598331848780313
552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,MLG46,22,5,MLG46,17,2,0,3,2.479727029800415,0.14586629587061264
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,21,4,MLG51,248,28,0,51,36.155359506607056,0.1457877399459962
288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,1-8590,13,8,1-8590,24,3,0,3,3.479727029800415,0.14498862624168396
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,MLG69,19,6,MLG69,576,50,0,208,83.26107406616211,0.14455047580930921
324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,1-6734,1,22,1-6734,44,5,0,8,6.279272079467773,0.14271072907881302
390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,MLG64,8,20,MLG64,245,29,0,36,34.75672435760498,0.1418641810514489
425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,1-6006,10,17,1-6006,57,2,0,38,8.076542377471924,0.14169372592056007
332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,MLG78,19,6,MLG78,80,10,0,8,11.279272079467773,0.14099090099334716
