Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
10,10,10,10,1-7964,17,22,1-7964,202,0,0,82,31.237533748149872,0.15464125617895977
51,51,51,51,1-9925,10,11,1-9925,93,6,0,22,14.380801737308502,0.1546322767452527
27,27,27,27,1-18409,2,1,1-18409,22,3,0,1,3.380945533514023,0.1536793424324556
134,134,134,134,1-9465,4,14,1-9465,18,2,0,2,2.7618910670280457,0.1534383926126692
193,193,193,193,1-9553,9,7,1-9553,23,2,0,4,3.5237821340560913,0.15320791887200397
265,265,265,265,1-11330,5,15,1-11330,14,1,0,3,2.1428366005420685,0.15305975718157633
306,306,306,306,1-18377,5,15,1-18377,14,1,0,3,2.1428366005420685,0.15305975718157633
455,455,455,455,1-17790,17,22,1-17790,5,0,0,2,0.7618910670280457,0.15237821340560914
254,254,254,254,1-8379,5,15,1-8379,5,0,0,2,0.7618910670280457,0.15237821340560914
277,277,277,277,1-4051,18,8,1-4051,5,0,0,2,0.7618910670280457,0.15237821340560914
36,36,36,36,1-2714,4,14,1-2714,61,2,0,19,9.237965136766434,0.15144205142240055
359,359,359,359,1-4417,17,22,1-4417,151,0,0,60,22.85673201084137,0.1513690861645124
441,441,441,441,1-19166,5,15,1-19166,45,3,0,10,6.809455335140228,0.15132122966978284
65,65,65,65,1-8659,4,14,1-8659,91,13,0,2,13.761891067028046,0.15122957216514335
85,85,85,85,1-8084,11,5,1-8084,82,4,0,22,12.380801737308502,0.15098538704034759
347,347,347,347,1-8188,16,4,1-8188,140,16,0,13,20.952291935682297,0.1496592281120164
104,104,104,104,1-8267,9,13,1-8267,133,6,0,36,19.714039206504822,0.148225858695525
157,157,157,157,1-6061,4,6,1-6061,40,4,0,5,5.904727667570114,0.14761819168925286
113,113,113,113,1-4499,10,11,1-4499,12,1,0,2,1.7618910670280457,0.14682425558567047
232,232,232,232,1-18371,19,20,1-18371,120,0,0,46,17.52349454164505,0.14602912118037542
223,223,223,223,1-0205,5,15,1-0205,34,0,0,13,4.952291935682297,0.14565564516712637
91,91,91,91,72-12171,14,18,72-12171,19,2,0,2,2.7618910670280457,0.1453626877383182
467,467,467,467,1-13247,13,20,1-13247,29,0,0,11,4.190400868654251,0.1444965816777328
121,121,121,121,1-7070,20,9,1-7070,129,1,0,46,18.52349454164505,0.1435929809429849
187,187,187,187,1-7321,4,14,1-7321,7,1,0,0,1.0,0.14285714285714285
497,497,497,497,1-8493,10,11,1-8493,38,2,0,9,5.4285098016262054,0.14285552109542646
523,523,523,523,1-9861,17,22,1-9861,8,0,0,3,1.1428366005420685,0.14285457506775856
451,451,451,451,1-4098,17,22,1-4098,16,0,0,6,2.285673201084137,0.14285457506775856
420,420,420,420,1-8172,19,20,1-8172,40,0,0,15,5.714183002710342,0.14285457506775856
281,281,281,281,1-9995,13,12,1-9995,24,3,0,1,3.380945533514023,0.14087273056308428
320,320,320,320,MLG13,5,15,MLG13,140,6,0,36,19.714039206504822,0.14081456576074872
471,471,471,471,1-9794,15,20,1-9794,46,0,0,17,6.476074069738388,0.14078421890735626
102,102,102,102,1-3564,2,1,1-3564,41,5,0,2,5.761891067028046,0.14053392846409868
183,183,183,183,1-9496,11,11,1-9496,39,2,0,9,5.4285098016262054,0.13919255901605654
198,198,198,198,1-9839,16,4,1-9839,20,2,0,2,2.7618910670280457,0.13809455335140228
538,538,538,538,1-9576,1,2,1-9576,10,1,0,1,1.3809455335140228,0.13809455335140228
339,339,339,339,1-3523,2,1,1-3523,543,62,0,30,73.42836600542068,0.1352271933801486
429,429,429,429,1-6693,11,5,1-6693,98,6,0,19,13.237965136766434,0.13508127690577992
226,226,226,226,1-9996,3,17,1-9996,28,3,0,2,3.7618910670280457,0.13435325239385879
419,419,419,419,1-6692,19,20,1-6692,71,0,0,25,9.52363833785057,0.13413575123733198
52,52,52,52,72-12387,13,12,72-12387,71,3,0,17,9.476074069738388,0.13346583196814632
197,197,197,197,1-8646,10,11,1-8646,20,0,0,7,2.66661873459816,0.13333093672990798
346,346,346,346,MLG32,14,18,MLG32,52,5,0,5,6.904727667570114,0.13278322437634835
40,40,40,40,1-7722,6,3,1-7722,60,3,0,13,7.952291935682297,0.13253819892803828
210,210,210,210,1-7842,13,12,1-7842,21,2,0,2,2.7618910670280457,0.13151862223943075
290,290,290,290,1-8341,5,15,1-8341,197,14,0,31,25.809311538934708,0.1310117337001762
261,261,261,261,1-1942,5,15,1-1942,34,1,0,9,4.4285098016262054,0.13025028828312368
480,480,480,480,1-1005,11,5,1-1005,125,12,0,11,16.19040086865425,0.129523206949234
517,517,517,517,1-18028,18,8,1-18028,309,19,0,55,39.952004343271255,0.12929451243777104
86,86,86,86,1-9345,2,1,1-9345,47,6,0,0,6.0,0.1276595744680851
224,224,224,224,1-9227,5,15,1-9227,801,34,0,179,102.18925049901009,0.1275770917590638
564,564,564,564,1-9034,6,3,1-9034,3,0,0,1,0.3809455335140228,0.12698184450467428
559,559,559,559,1-5914,9,13,1-5914,3,0,0,1,0.3809455335140228,0.12698184450467428
