Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.2,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
345,345,345,345,345,345,345,1-1131,11,14,1-1131,138,21,0,66,35.539378345012665,0.25753172713777295
221,221,221,221,221,221,221,1-8023,7,13,1-8023,16,3,0,5,4.101468056440353,0.2563417535275221
339,339,339,339,339,339,339,1-3523,17,11,1-3523,543,105,0,154,138.92521613836288,0.2558475435328967
92,92,92,92,92,92,92,1-7807,13,5,1-7807,239,47,0,58,59.7770294547081,0.25011309395275355
226,226,226,226,226,226,226,1-9996,7,13,1-9996,28,7,0,0,7.0,0.25
175,175,175,175,175,175,175,1-4910,8,6,1-4910,4,1,0,0,1.0,0.25
280,280,280,280,280,280,280,1-7608,7,13,1-7608,4,1,0,0,1.0,0.25
451,451,451,451,451,451,451,1-4098,5,23,1-4098,16,4,0,0,4.0,0.25
446,446,446,446,446,446,446,1-3534,13,5,1-3534,279,58,0,51,69.2349741756916,0.24815402930355415
517,517,517,517,517,517,517,1-18028,14,12,1-18028,309,65,0,53,76.67556139826775,0.24814097539892474
518,518,518,518,518,518,518,1-1850,4,3,1-1850,30,5,0,11,7.4232297241687775,0.24744099080562593
256,256,256,256,256,256,256,1-9277,5,23,1-9277,48,8,0,17,11.744991391897202,0.24468732066452503
373,373,373,373,373,373,373,1-6918,6,1,1-6918,43,1,0,43,10.47262528538704,0.24354942524155906
531,531,531,531,531,531,531,1-5891,7,13,1-5891,96,13,0,47,23.353799730539322,0.24326874719311795
426,426,426,426,426,426,426,1-4355,21,16,1-4355,49,9,0,13,11.863816946744919,0.2421187131988759
388,388,388,388,388,388,388,MLG49,8,6,MLG49,185,41,0,17,44.7449913918972,0.24186481833457946
174,174,174,174,174,174,174,MLG38,3,17,MLG38,77,12,0,30,18.60880833864212,0.2416728355667808
