Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
412,412,412,412,412,412,412,412,412,412,412,412,412,1-0055,9,1-0055,5,18,1,0,8,5.278483867645264,0.29324910375807023
34,34,34,34,34,34,34,34,34,34,34,34,34,MLG51,15,MLG51,3,248,41,0,58,72.01900804042816,0.2903992259694684
329,329,329,329,329,329,329,329,329,329,329,329,329,1-5980,6,1-5980,11,29,5,0,6,8.208862900733948,0.283064237956343
41,41,41,41,41,41,41,41,41,41,41,41,41,1-9283,5,1-9283,10,235,43,0,41,64.92722982168198,0.2762860843475829
328,328,328,328,328,328,328,328,328,328,328,328,328,1-9110,17,1-9110,2,29,8,0,0,8.0,0.27586206896551724
224,224,224,224,224,224,224,224,224,224,224,224,224,1-9277,8,1-9277,14,48,2,0,21,13.231020152568817,0.27564625317851704
197,197,197,197,197,197,197,197,197,197,197,197,197,1-6006,18,1-6006,21,57,13,0,5,15.67405241727829,0.2749833757417244
401,401,401,401,401,401,401,401,401,401,401,401,401,1-8100,9,1-8100,5,19,2,0,6,5.208862900733948,0.27415067898599726
159,159,159,159,159,159,159,159,159,159,159,159,159,1-6914,8,1-6914,14,73,6,0,26,19.905072569847107,0.27267222698420696
331,331,331,331,331,331,331,331,331,331,331,331,331,1-5981,11,1-5981,18,28,6,0,3,7.604431450366974,0.2715868375131062
105,105,105,105,105,105,105,105,105,105,105,105,105,1-7042,19,1-7042,20,117,5,0,50,31.740524172782898,0.2712865313913068
406,406,406,406,406,406,406,406,406,406,406,406,406,1-3265,11,1-3265,18,19,3,0,4,5.139241933822632,0.2704864175696122
182,182,182,182,182,182,182,182,182,182,182,182,182,1-6647,20,1-6647,15,62,6,0,20,16.69620966911316,0.26929370434053485
126,126,126,126,126,126,126,126,126,126,126,126,126,1-6693,6,1-6693,11,98,14,0,23,26.300641119480133,0.26837388897428704
130,130,130,130,130,130,130,130,130,130,130,130,130,1-3139,8,1-3139,14,93,11,0,26,24.905072569847107,0.2677964792456678
551,551,551,551,551,551,551,551,551,551,551,551,551,1-19567,16,1-19567,4,2,0,0,1,0.534810483455658,0.267405241727829
552,552,552,552,552,552,552,552,552,552,552,552,552,1-19568,1,1-19568,1,2,0,0,1,0.534810483455658,0.267405241727829
201,201,201,201,201,201,201,201,201,201,201,201,201,1-8529,10,1-8529,19,56,0,0,28,14.974693536758423,0.267405241727829
277,277,277,277,277,277,277,277,277,277,277,277,277,1-10060,3,1-10060,8,36,0,0,18,9.626588702201843,0.267405241727829
369,369,369,369,369,369,369,369,369,369,369,369,369,MLG39,5,MLG39,10,23,4,0,4,6.139241933822632,0.26692356234011444
96,96,96,96,96,96,96,96,96,96,96,96,96,MLG09,18,MLG09,21,125,1,0,60,33.08862900733948,0.2647090320587158
111,111,111,111,111,111,111,111,111,111,111,111,111,1-0272,5,1-0272,10,111,25,0,8,29.278483867645264,0.26377012493374113
281,281,281,281,281,281,281,281,281,281,281,281,281,1-3312,3,1-3312,8,36,3,0,12,9.417725801467896,0.2616034944852193
76,76,76,76,76,76,76,76,76,76,76,76,76,1-2335,12,1-2335,17,145,29,0,16,37.55696773529053,0.2590135705882105
359,359,359,359,359,359,359,359,359,359,359,359,359,1-7839,19,1-7839,20,24,3,0,6,6.208862900733948,0.2587026208639145
433,433,433,433,433,433,433,433,433,433,433,433,433,1-20641,18,1-20641,21,16,2,0,4,4.139241933822632,0.2587026208639145
0,0,0,0,0,0,0,0,0,0,0,0,0,1-6098,6,1-6098,11,1327,137,0,385,342.9020361304283,0.2584039458405639
181,181,181,181,181,181,181,181,181,181,181,181,181,MLG84,17,MLG84,2,63,12,0,8,16.278483867645264,0.2583886328197661
106,106,106,106,106,106,106,106,106,106,106,106,106,1-9963,18,1-9963,21,116,16,0,26,29.905072569847107,0.2578023497400613
448,448,448,448,448,448,448,448,448,448,448,448,448,MLG42,12,MLG42,17,14,2,0,3,3.604431450366974,0.2574593893119267
157,157,157,157,157,157,157,157,157,157,157,157,157,1-17733,3,1-17733,8,74,3,0,30,19.04431450366974,0.25735560140094244
344,344,344,344,344,344,344,344,344,344,344,344,344,1-2103,18,1-2103,21,26,4,0,5,6.67405241727829,0.25669432374147266
191,191,191,191,191,191,191,191,191,191,191,191,191,MLG44,21,MLG44,13,59,13,0,4,15.139241933822632,0.256597320912248
136,136,136,136,136,136,136,136,136,136,136,136,136,1-1769,3,1-1769,8,89,3,0,37,22.787987887859344,0.2560448077287567
233,233,233,233,233,233,233,233,233,233,233,233,233,1-3587,9,1-3587,5,46,8,0,7,11.743673384189606,0.25529724748238275
169,169,169,169,169,169,169,169,169,169,169,169,169,1-7268,16,1-7268,4,70,5,0,24,17.83545160293579,0.2547921657562256
32,32,32,32,32,32,32,32,32,32,32,32,32,1-7874,8,1-7874,14,258,11,0,102,65.55066931247711,0.2540723616762679
487,487,487,487,487,487,487,487,487,487,487,487,487,1-4929,18,1-4929,21,10,2,0,1,2.534810483455658,0.2534810483455658
490,490,490,490,490,490,490,490,490,490,490,490,490,1-8634,9,1-8634,5,10,2,0,1,2.534810483455658,0.2534810483455658
297,297,297,297,297,297,297,297,297,297,297,297,297,1-9630,13,1-9630,16,33,3,0,10,8.34810483455658,0.25297287377444183
449,449,449,449,449,449,449,449,449,449,449,449,449,MLG43,4,MLG43,4,14,3,0,1,3.534810483455658,0.25248646310397554
417,417,417,417,417,417,417,417,417,417,417,417,417,1-5425,3,1-5425,8,17,0,0,8,4.278483867645264,0.251675521626192
394,394,394,394,394,394,394,394,394,394,394,394,394,1-9697,20,1-9697,6,20,5,0,0,5.0,0.25
64,64,64,64,64,64,64,64,64,64,64,64,64,MLG29,6,MLG29,11,164,20,0,39,40.85760885477066,0.2491317613095772
296,296,296,296,296,296,296,296,296,296,296,296,296,1-0205,8,1-0205,14,34,2,0,12,8.417725801467896,0.2475801706314087
255,255,255,255,255,255,255,255,255,255,255,255,255,1-3564,18,1-3564,21,41,8,0,4,10.139241933822632,0.2472985837517715
349,349,349,349,349,349,349,349,349,349,349,349,349,1-8186,13,1-8186,16,26,0,0,12,6.4177258014678955,0.2468356077487652
302,302,302,302,302,302,302,302,302,302,302,302,302,1-9500,18,1-9500,21,33,6,0,4,8.139241933822632,0.24664369496432217
90,90,90,90,90,90,90,90,90,90,90,90,90,1-7070,15,1-7070,3,129,28,0,7,31.743673384189606,0.24607498747433804
301,301,301,301,301,301,301,301,301,301,301,301,301,1-8400,4,1-8400,9,33,7,0,2,8.069620966911316,0.2445339686942823
78,78,78,78,78,78,78,78,78,78,78,78,78,1-1570,18,1-1570,21,142,22,0,23,34.30064111948013,0.2415538107005643
1,1,1,1,1,1,1,1,1,1,1,1,1,1-9227,8,1-9227,14,801,69,0,231,192.541221678257,0.24037605702653805
31,31,31,31,31,31,31,31,31,31,31,31,31,1-9156,12,1-9156,17,268,37,0,51,64.27533465623856,0.23983333826954686
30,30,30,30,30,30,30,30,30,30,30,30,30,1-10785,14,1-10785,15,279,38,0,54,66.87976610660553,0.23971242332116677
151,151,151,151,151,151,151,151,151,151,151,151,151,MLG38,4,MLG38,9,77,13,0,10,18.34810483455658,0.23828707577346206
319,319,319,319,319,319,319,319,319,319,319,319,319,1-18935,13,1-18935,16,30,5,0,4,7.139241933822632,0.23797473112742107
22,22,22,22,22,22,22,22,22,22,22,22,22,MLG50,20,MLG50,6,319,40,0,67,75.83230239152908,0.23771881627438585
300,300,300,300,300,300,300,300,300,300,300,300,300,1-18709,5,1-18709,10,33,3,0,9,7.813294351100922,0.2367664954879067
257,257,257,257,257,257,257,257,257,257,257,257,257,1-19286,20,1-19286,6,40,4,0,10,9.34810483455658,0.2337026208639145
232,232,232,232,232,232,232,232,232,232,232,232,232,1-8095,21,1-8095,13,46,8,0,5,10.67405241727829,0.23204461776691934
