Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
239,239,239,239,239,239,239,239,239,239,239,239,239,1-5002,7,1-5002,7,45,10,0,14,10.634761899709702,0.23632804221577114
43,43,43,43,43,43,43,43,43,43,43,43,43,MLG14,2,MLG14,2,232,54,0,15,54.68010203540325,0.23569009498018642
299,299,299,299,299,299,299,299,299,299,299,299,299,MLG31,12,MLG31,19,33,7,0,11,7.498741492629051,0.22723459068572882
243,243,243,243,243,243,243,243,243,243,243,243,243,1-19166,12,1-19166,13,45,10,0,3,10.13602040708065,0.22524489793512556
146,146,146,146,146,146,146,146,146,146,146,146,146,MLG78,14,MLG78,15,80,17,0,21,17.952142849564552,0.2244017856195569
394,394,394,394,394,394,394,394,394,394,394,394,394,1-9697,14,1-9697,20,20,4,0,10,4.453401356935501,0.22267006784677507
450,450,450,450,450,450,450,450,450,450,450,450,450,1-11206,13,1-11206,14,14,3,0,2,3.0906802713871,0.22076287652765
147,147,147,147,147,147,147,147,147,147,147,147,147,1-2423,10,1-2423,12,79,17,0,7,17.31738094985485,0.21920735379563103
13,13,13,13,13,13,13,13,13,13,13,13,13,1-1258,14,1-1258,15,435,91,0,69,94.12846936285496,0.2163872858916206
195,195,195,195,195,195,195,195,195,195,195,195,195,1-9379,8,1-9379,9,58,12,0,11,12.498741492629051,0.21549554297636295
404,404,404,404,404,404,404,404,404,404,404,404,404,1-20578,5,1-20578,5,19,4,0,1,4.04534013569355,0.21291263872071317
85,85,85,85,85,85,85,85,85,85,85,85,85,1-1131,10,1-1131,12,138,26,0,66,28.992448955774307,0.2100902098244515
327,327,327,327,327,327,327,327,327,327,327,327,327,1-8988,2,1-8988,2,29,6,0,2,6.0906802713871,0.21002345763403793
81,81,81,81,81,81,81,81,81,81,81,81,81,1-7682,11,1-7682,11,141,27,0,55,29.493707463145256,0.20917523023507273
154,154,154,154,154,154,154,154,154,154,154,154,154,1-9417,6,1-9417,6,76,15,0,14,15.634761899709702,0.20572055131196976
45,45,45,45,45,45,45,45,45,45,45,45,45,1-3596,4,1-3596,4,223,43,0,42,44.904285699129105,0.20136450986156548
211,211,211,211,211,211,211,211,211,211,211,211,211,1-8042,15,1-8042,19,52,10,0,10,10.453401356935501,0.20102694917183656
439,439,439,439,439,439,439,439,439,439,439,439,439,1-4682,15,1-4682,16,16,3,0,4,3.1813605427742004,0.19883503392338753
122,122,122,122,122,122,122,122,122,122,122,122,122,1-9404,6,1-9404,6,100,19,0,16,19.7254421710968,0.19725442171096802
5,5,5,5,5,5,5,5,5,5,5,5,5,MLG57,15,MLG57,16,629,118,0,128,123.80353736877441,0.1968259735592598
429,429,429,429,429,429,429,429,429,429,429,429,429,1-9452,6,1-9452,19,16,3,0,2,3.0906802713871,0.19316751696169376
11,11,11,11,11,11,11,11,11,11,11,11,11,MLG56,12,MLG56,13,511,94,0,76,97.44585031270981,0.1906963802597061
84,84,84,84,84,84,84,84,84,84,84,84,84,1-2382,4,1-2382,4,139,25,0,31,26.405544206500053,0.18996794393165506
54,54,54,54,54,54,54,54,54,54,54,54,54,1-1350,11,1-1350,11,195,34,0,65,36.94710882008076,0.18947235292349107
80,80,80,80,80,80,80,80,80,80,80,80,80,1-0053,7,1-0053,7,142,25,0,26,26.178843528032303,0.184358053014312
91,91,91,91,91,91,91,91,91,91,91,91,91,1-9270,13,1-9270,14,128,22,0,34,23.541564613580704,0.18391847354359925
9,9,9,9,9,9,9,9,9,9,9,9,9,1-3523,3,1-3523,3,543,93,0,150,99.80102035403252,0.18379561759490334
