,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
528,1-3206,3,23,1-3206,45,0,0,0,0.0,0.0
529,1-5424,18,23,1-5424,5,0,0,0,0.0,0.0
530,1-3178,4,10,1-3178,6,0,0,0,0.0,0.0
531,1-10978,3,23,1-10978,1,0,0,0,0.0,0.0
532,1-5913,5,23,1-5913,14,0,0,0,0.0,0.0
533,1-20012,3,23,1-20012,12,0,0,0,0.0,0.0
534,1-5914,4,10,1-5914,3,0,0,0,0.0,0.0
535,1-7599,21,16,1-7599,3,0,0,0,0.0,0.0
536,1-8532,16,14,1-8532,4,0,0,0,0.0,0.0
537,1-19567,15,23,1-19567,2,0,0,0,0.0,0.0
538,1-9733,17,4,1-9733,4,0,0,0,0.0,0.0
539,1-8093,8,11,1-8093,4,0,0,0,0.0,0.0
540,1-6028,1,16,1-6028,2,0,0,0,0.0,0.0
541,1-6642,9,17,1-6642,36,0,0,0,0.0,0.0
542,1-9836,12,23,1-9836,5,0,0,0,0.0,0.0
543,1-3216,5,13,1-3216,5,0,0,0,0.0,0.0
544,1-8641,6,15,1-8641,30,0,0,0,0.0,0.0
545,1-9034,3,23,1-9034,3,0,0,0,0.0,0.0
546,1-8401,2,12,1-8401,57,0,0,0,0.0,0.0
547,1-4910,13,7,1-4910,4,0,0,0,0.0,0.0
548,1-10948,6,15,1-10948,2,0,0,0,0.0,0.0
549,1-8578,2,1,1-8578,11,0,0,0,0.0,0.0
550,1-5744,5,11,1-5744,18,0,0,0,0.0,0.0
551,1-3521,7,5,1-3521,22,0,0,0,0.0,0.0
552,1-3519,5,9,1-3519,27,0,0,0,0.0,0.0
553,1-5799,1,23,1-5799,7,0,0,0,0.0,0.0
554,1-2869,1,18,1-2869,9,0,0,0,0.0,0.0
555,1-21195,6,15,1-21195,1,0,0,0,0.0,0.0
556,1-6931,1,18,1-6931,1,0,0,0,0.0,0.0
557,1-7897,3,23,1-7897,95,0,0,0,0.0,0.0
558,1-7527,10,1,1-7527,1,0,0,0,0.0,0.0
559,1-6971,1,18,1-6971,10,0,0,0,0.0,0.0
560,1-7321,4,10,1-7321,7,0,0,0,0.0,0.0
561,1-0022,9,17,1-0022,18,0,0,0,0.0,0.0
562,1-19222,15,13,1-19222,15,0,0,0,0.0,0.0
563,P-16454,7,5,P-16454,8,0,0,0,0.0,0.0
564,1-17657,12,4,1-17657,8,0,0,0,0.0,0.0
565,1-2178,10,1,1-2178,12,0,0,0,0.0,0.0
