Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
74,74,74,1-8124,18,16,1-8124,18,4,0,2,5.908129692077637,0.3282294273376465
192,192,192,1-9770,9,12,1-9770,50,4,0,13,16.40284299850464,0.32805685997009276
57,57,57,1-1224,1,11,1-1224,151,18,0,33,49.484139919281006,0.3277095358892782
371,371,371,1-1580,8,8,1-1580,400,78,0,55,130.473566532135,0.3261839163303375
549,549,549,1-4842,9,12,1-4842,6,1,0,1,1.9540648460388184,0.32567747433980304
439,439,439,MLG72,4,7,MLG72,9,1,0,2,2.9081296920776367,0.32312552134195965
150,150,150,1-7005,7,14,1-7005,285,46,0,47,90.84104776382446,0.31874051846955953
259,259,259,1-3596,16,22,1-3596,223,22,0,51,70.65730714797974,0.31684891097748763
225,225,225,1-9650,8,8,1-9650,25,6,0,2,7.908129692077637,0.31632518768310547
117,117,117,1-0358,14,10,1-0358,22,6,0,1,6.954064846038818,0.3160938566381281
430,430,430,1-3141,10,17,1-3141,136,29,0,14,42.35690784454346,0.31144785179811363
431,431,431,1-7614,13,18,1-7614,72,10,0,13,22.40284299850464,0.3111505972014533
101,101,101,1-9892,9,12,1-9892,22,3,0,4,6.816259384155273,0.30982997200705786
310,310,310,1-4855,18,22,1-4855,22,2,0,5,6.770324230194092,0.3077420104633678
69,69,69,1-18498,4,7,1-18498,13,4,0,0,4.0,0.3076923076923077
109,109,109,1-9768,9,12,1-9768,241,27,0,49,73.7491774559021,0.3060131844643241
140,140,140,1-2294,8,19,1-2294,75,18,0,5,22.770324230194092,0.30360432306925456
143,143,143,1-8928,16,22,1-8928,39,8,0,4,11.816259384155273,0.3029810098501352
224,224,224,1-9227,7,14,1-9227,801,88,0,162,242.55850505828857,0.3028196068143428
163,163,163,1-9137,14,10,1-9137,111,4,0,31,33.57601022720337,0.3024865786234538
540,540,540,1-5413,1,11,1-5413,39,7,0,5,11.770324230194092,0.3018031853895921
67,67,67,1-7481,7,14,1-7481,33,9,0,1,9.954064846038818,0.30163832866784296
408,408,408,MLG53,12,15,MLG53,91,15,0,13,27.40284299850464,0.3011301428407103
84,84,84,1-18714,12,15,1-18714,32,1,0,9,9.586583614349365,0.29958073794841766
73,73,73,1-5355,10,17,1-5355,53,13,0,3,15.862194538116455,0.2992866893984237
193,193,193,1-9553,12,15,1-9553,23,4,0,3,6.862194538116455,0.2983562842659328
328,328,328,1-9497,17,9,1-9497,150,16,0,30,44.62194538116455,0.2974796358744303
217,217,217,1-9630,10,17,1-9630,33,5,0,5,9.770324230194092,0.2960704312180028
240,240,240,MLG33,2,6,MLG33,20,4,0,2,5.908129692077637,0.29540648460388186
528,528,528,1-6718,2,6,1-6718,20,4,0,2,5.908129692077637,0.29540648460388186
509,509,509,1-18935,12,15,1-18935,30,6,0,3,8.862194538116455,0.29540648460388186
63,63,63,1-7066,7,14,1-7066,23,2,0,5,6.770324230194092,0.29436192305191705
197,197,197,1-8646,5,20,1-8646,20,3,0,3,5.862194538116455,0.29310972690582277
501,501,501,1-18487,10,17,1-18487,23,1,0,6,6.72438907623291,0.2923647424449091
290,290,290,1-8341,7,14,1-8341,197,23,0,36,57.34633445739746,0.2910981444537942
44,44,44,1-5214,19,13,1-5214,40,3,0,9,11.586583614349365,0.28966459035873415
437,437,437,1-6980,12,15,1-6980,128,36,0,1,36.95406484603882,0.28870363160967827
257,257,257,1-9504,4,7,1-9504,30,1,0,8,8.632518768310547,0.2877506256103516
99,99,99,1-5775,9,12,1-5775,244,12,0,61,70.19795560836792,0.28769653937855705
267,267,267,1-6181,5,20,1-6181,659,51,0,144,188.38533782958984,0.2858654595289679
544,544,544,1-5799,2,6,1-5799,7,2,0,0,2.0,0.2857142857142857
237,237,237,1-9667,6,2,1-9667,14,4,0,0,4.0,0.2857142857142857
352,352,352,MLG63,14,10,MLG63,380,85,0,24,107.89755630493164,0.28394093764455697
281,281,281,1-9995,13,18,1-9995,24,2,0,5,6.770324230194092,0.28209684292475384
200,200,200,1-4634,5,20,1-4634,48,3,0,11,13.494713306427002,0.28113986055056256
422,422,422,1-6878,5,20,1-6878,167,4,0,45,46.932918071746826,0.2810354375553702
478,478,478,1-9394,9,12,1-9394,117,9,0,25,32.85162115097046,0.2807830867604313
438,438,438,MLG10,16,22,MLG10,60,13,0,4,16.816259384155273,0.28027098973592124
12,12,12,MLG84,12,15,MLG84,63,10,0,8,17.632518768310547,0.2798812502906436
50,50,50,1-8174,1,11,1-8174,45,4,0,9,12.586583614349365,0.27970185809665254
512,512,512,1-3033,14,10,1-3033,7,1,0,1,1.9540648460388184,0.2791521208626883
239,239,239,1-7042,7,14,1-7042,117,19,0,14,32.35690784454346,0.27655476790208083
294,294,294,1-3509,5,20,1-3509,35,2,0,8,9.632518768310547,0.2752148219517299
