Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,MLG30,5,7,MLG30,208,41,0,51,84.3326650261879,0.40544550493359566
143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,1-8928,7,3,1-8928,39,3,0,15,15.744901478290558,0.4037154225202707
552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,MLG46,3,2,MLG46,17,6,0,1,6.849660098552704,0.4029211822678061
232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,1-18371,7,3,1-18371,120,20,0,33,48.03878325223923,0.4003231937686602
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,1-10232,13,16,1-10232,5,2,0,0,2.0,0.4
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,1-19222,15,14,1-19222,15,6,0,0,6.0,0.4
287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,1-9836,6,9,1-9836,5,2,0,0,2.0,0.4
268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,MLG44,4,17,MLG44,59,9,0,17,23.444221675395966,0.3973596894134909
312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,1-3108,6,5,1-3108,18,2,0,6,7.097960591316223,0.3943311439620124
392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,1-9609,4,17,1-9609,25,3,0,8,9.79728078842163,0.3918912315368652
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1-8222,10,6,1-8222,12,3,0,2,4.699320197105408,0.3916100164254506
166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,MLG40,21,11,MLG40,51,8,0,14,19.895241379737854,0.3901027721517226
390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,MLG64,3,2,MLG64,245,41,0,63,94.52858620882034,0.38583096411763407
504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,1-5425,10,6,1-5425,17,4,0,3,6.548980295658112,0.38523413503871246
192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,1-9770,9,21,1-9770,50,9,0,12,19.195921182632446,0.38391842365264894
350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,1-2282,1,15,1-2282,219,18,0,77,83.4238275885582,0.3809307195824575
477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,1-9055,13,16,1-9055,12,2,0,3,4.548980295658112,0.37908169130484265
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,1-7467,10,6,1-7467,64,20,0,5,24.24830049276352,0.37887969519943
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,1-5355,10,6,1-5355,53,9,0,13,20.04558128118515,0.3782185147393425
414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,1-8285,17,5,1-8285,72,11,0,19,27.143541872501373,0.37699363711807465
465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,1-5913,21,6,1-5913,14,1,0,5,5.248300492763519,0.37487860662596567
460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,1-7993,16,4,1-7993,24,3,0,7,8.947620689868927,0.3728175287445386
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,MLG39,2,23,MLG39,23,6,0,3,8.548980295658112,0.3716947954633962
