Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
450,1-2297,16,14,1-2297,25,3,0,6,8.803433060646057,0.3521373224258423
1,1-9185,4,7,1-9185,31,7,0,4,10.868955373764038,0.35061146366980767
358,1-9831,16,14,1-9831,132,25,0,22,46.27925455570221,0.3506004133007743
260,1-0129,8,11,1-0129,142,35,0,15,49.50858265161514,0.348651990504332
357,1-4760,7,8,1-4760,40,11,0,3,13.901716530323029,0.34754291325807574
228,1-17835,17,4,1-17835,17,3,0,3,5.901716530323029,0.3471597959013546
241,1-19448,6,15,1-19448,45,4,0,12,15.606866121292114,0.34681924713982476
267,1-6181,17,4,1-6181,659,112,0,120,228.06866121292114,0.34608294569487275
272,1-1570,8,11,1-1570,142,20,0,30,49.017165303230286,0.345191304952326
377,1-7213,4,7,1-7213,23,6,0,2,7.934477686882019,0.34497729073400085
408,MLG53,9,12,MLG53,91,13,0,19,31.37753802537918,0.344808110169002
423,1-7122,6,15,1-7122,197,30,0,39,67.72231489419937,0.34376809590964147
13,1-9805,2,3,1-9805,26,7,0,2,8.934477686882019,0.34363375718776995
422,1-6878,5,5,1-6878,167,4,0,55,57.198136389255524,0.3425038107141049
349,1-3052,19,17,1-3052,166,18,0,40,56.68955373764038,0.34150333576891795
362,1-1462,19,17,1-1462,192,22,0,45,65.52574795484543,0.3412799372648199
524,1-9338,16,14,1-9338,29,6,0,4,9.868955373764038,0.34030880599186336
92,1-7807,20,19,1-7807,239,23,0,60,81.03433060646057,0.33905577659606934
290,1-8341,19,17,1-8341,197,22,0,46,66.49298679828644,0.33752785176795147
347,1-8188,9,12,1-8188,140,16,0,32,46.951642990112305,0.33536887850080216
559,1-5914,2,3,1-5914,3,1,0,0,1.0,0.3333333333333333
551,1-9838,1,2,1-9838,3,1,0,0,1.0,0.3333333333333333
496,1-3176,5,5,1-3176,3,1,0,0,1.0,0.3333333333333333
93,1-20003,5,5,1-20003,21,7,0,0,7.0,0.3333333333333333
332,MLG78,2,3,MLG78,80,16,0,11,26.639627277851105,0.3329953409731388
315,1-1769,16,14,1-1769,89,16,0,14,29.541343808174133,0.33192521132779923
369,1-6594,3,21,1-6594,70,0,0,24,23.21373224258423,0.33162474632263184
