Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.2,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,1-1957,6,2,1-1957,47,16,0,2,16.459455490112305,0.35020118064068734
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1-5775,9,13,1-5775,244,77,0,34,84.81074333190918,0.3475850136553655
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1-8084,17,6,1-8084,82,27,0,6,28.378366470336914,0.3460776398821575
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,MLG39,12,8,MLG39,23,7,0,4,7.918910980224609,0.34430047740106995
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,3,3,1-9379,58,13,0,30,19.89183235168457,0.34296262675318223
357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,1-4760,18,16,1-4760,40,12,0,7,13.608094215393066,0.3402023553848267
253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,1-4649,18,16,1-4649,244,65,0,77,82.68903636932373,0.33888949331690055
430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,1-3141,10,5,1-3141,136,43,0,10,45.29727745056152,0.3330682165482465
499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,2,14,1-8627,25,6,0,10,8.297277450561523,0.3318910980224609
332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,MLG78,3,3,MLG78,80,22,0,17,25.90537166595459,0.3238171458244324
495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,MLG08,1,7,MLG08,107,13,0,94,34.59440803527832,0.32331222462876935
506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,1-6227,4,8,1-6227,52,16,0,3,16.689183235168457,0.3209458314455472
205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,1-8018,2,14,1-8018,58,17,0,7,18.608094215393066,0.3208292106102253
322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,1-0296,3,3,1-0296,41,11,0,9,13.067549705505371,0.31872072452452127
272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,1-1570,10,5,1-1570,142,31,0,62,45.243120193481445,0.31861352248930597
292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,1-9997,1,7,1-9997,16,3,0,9,5.067549705505371,0.3167218565940857
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,MLG58,19,10,MLG58,71,19,0,15,22.445916175842285,0.3161396644484829
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,1-5355,10,5,1-5355,53,13,0,16,16.675643920898438,0.31463479096034785
534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,1-9457,7,9,1-9457,11,3,0,2,3.4594554901123047,0.3144959536465732
450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,1-2297,1,7,1-2297,25,6,0,8,7.837821960449219,0.31351287841796877
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1-18603,9,13,1-18603,19,5,0,4,5.918910980224609,0.31152163053813736
154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,1-18994,4,12,1-18994,28,8,0,3,8.689183235168457,0.3103279726845877
511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,1-9697,3,3,1-9697,20,5,0,5,6.148638725280762,0.3074319362640381
508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,1-8532,8,4,1-8532,4,1,0,1,1.2297277450561523,0.3074319362640381
231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,1-8450,3,3,1-8450,52,12,0,17,15.90537166595459,0.30587253203758824
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,12,8,MLG52,125,29,0,40,38.189109802246094,0.30551287841796876
403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,1-1770,9,13,1-1770,35,8,0,11,10.527005195617676,0.3007715770176479
528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,1-6718,2,14,1-6718,20,6,0,0,6.0,0.3
234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,MLG29,17,6,MLG29,164,37,0,53,49.175570487976074,0.2998510395608297
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,1-2294,8,17,1-2294,75,22,0,2,22.459455490112305,0.2994594065348307
503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,1-9076,2,14,1-9076,9,2,0,3,2.689183235168457,0.2987981372409397
319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,1-3584,4,6,1-3584,26,5,0,12,7.756732940673828,0.29833588233360875
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,1-9630,10,14,1-9630,33,8,0,8,9.837821960449219,0.29811581698330963
562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,1-0003,18,3,1-0003,17,3,0,9,5.067549705505371,0.2980911591473748
305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,1-7866,4,12,1-7866,318,91,0,16,94.67564392089844,0.2977221506946492
383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,1-8551,2,14,1-8551,38,9,0,10,11.297277450561523,0.2972967750147769
466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,1-5981,3,3,1-5981,28,6,0,10,8.297277450561523,0.2963313375200544
454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,1-0272,11,1,1-0272,111,32,0,3,32.68918323516846,0.2944971462627789
283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,1-3535,9,13,1-3535,315,56,0,158,92.29698371887207,0.2930062975202288
189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,1-9156,9,13,1-9156,268,55,0,100,77.97277450561523,0.2909431884537882
421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,1-8398,12,8,1-8398,54,15,0,3,15.689183235168457,0.2905404302808974
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,2,2,1-7682,141,40,0,4,40.91891098022461,0.2902050424129405
558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,1-0055,12,8,1-0055,18,4,0,5,5.148638725280762,0.2860354847378201
488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,1-11350,8,4,1-11350,100,21,0,33,28.581015586853027,0.28581015586853026
261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,1-1942,7,9,1-1942,34,9,0,3,9.689183235168457,0.2849759775049546
487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,1-6900,3,3,1-6900,67,17,0,9,19.06754970550537,0.28459029411202047
266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,1-2103,1,7,1-2103,26,6,0,6,7.378366470336914,0.283783325782189
560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,1-0027,19,10,1-0027,29,7,0,5,8.148638725280762,0.28098754225106076
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,MLG42,16,20,MLG42,14,3,0,4,3.9189109802246094,0.27992221287318636
472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,1-9518,8,4,1-9518,22,5,0,5,6.148638725280762,0.2794835784218528
382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,1-18558,4,12,1-18558,307,79,0,28,85.43237686157227,0.27828135785528424
371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,1-1580,8,4,1-1580,400,96,0,64,110.70257568359375,0.27675643920898435
373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,1-6918,7,9,1-6918,43,2,0,43,11.87829303741455,0.2762393729631291
132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,1-9110,4,12,1-9110,29,8,0,0,8.0,0.27586206896551724
441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,1-19166,1,7,1-19166,45,11,0,6,12.378366470336914,0.27507481045193144
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,19,10,MLG75,185,43,0,34,50.81074333190918,0.27465266665896854
321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,1-5172,14,11,1-5172,120,20,0,56,32.86475372314453,0.27387294769287107
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,1-7467,3,3,1-7467,64,15,0,11,17.527005195617676,0.2738594561815262
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,1-1224,1,7,1-1224,151,29,0,53,41.175570487976074,0.2726858972713647
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,MLG49,1,7,MLG49,185,28,0,96,50.053863525390625,0.27056142446157094
400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1-18709,20,17,1-18709,33,8,0,4,8.91891098022461,0.27027002970377606
426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,1-4355,6,2,1-4355,49,13,0,1,13.229727745056152,0.26999444377665616
206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,1-9752,2,14,1-9752,22,5,0,4,5.918910980224609,0.2690414081920277
543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,1-5803,13,21,1-5803,15,4,0,0,4.0,0.26666666666666666
341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,1-0031,4,12,1-0031,13,3,0,2,3.4594554901123047,0.2661119607778696
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1-9925,19,10,1-9925,93,23,0,7,24.608094215393066,0.26460316360637703
225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,1-9650,8,4,1-9650,25,5,0,7,6.608094215393066,0.26432376861572265
311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,1-20578,20,17,1-20578,19,5,0,0,5.0,0.2631578947368421
381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,1-2335,9,13,1-2335,145,29,0,39,37.95938205718994,0.26178884177372375
407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,1-8421,10,5,1-8421,109,26,0,11,28.527005195617676,0.26171564399649244
201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,1-9902,11,1,1-9902,30,6,0,8,7.837821960449219,0.26126073201497396
353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,12,8,MLG50,319,51,0,139,82.93215656280518,0.25997541242258676
537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,1-4494,19,10,1-4494,16,3,0,5,4.148638725280762,0.2592899203300476
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,20,17,P-16616,28,7,0,1,7.229727745056152,0.25820456232343403
233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,MLG07,7,9,MLG07,90,3,0,88,23.216041564941406,0.25795601738823787
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,1-3312,14,11,1-3312,36,4,0,23,9.283738136291504,0.25788161489698624
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,1-7481,7,9,1-7481,33,8,0,2,8.459455490112305,0.2563471360640092
461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,1-9651,2,14,1-9651,38,9,0,3,9.689183235168457,0.2549785061886436
378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,1-6561,10,5,1-6561,65,14,0,11,16.527005195617676,0.2542616183941181
520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,1-2034,14,11,1-2034,16,2,0,9,4.067549705505371,0.2542218565940857
424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,1-4700,1,7,1-4700,31,6,0,8,7.837821960449219,0.2528329664661038
214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,1-0053,17,6,1-0053,142,26,0,43,35.87829303741455,0.25266403547475036
339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,1-3523,8,4,1-3523,543,109,0,120,136.56732940673828,0.251505210693809
244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,MLG57,14,11,MLG57,629,81,0,334,157.72906684875488,0.25076163250994415
204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,1-9733,3,3,1-9733,4,1,0,0,1.0,0.25
119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,1-5929,1,7,1-5929,4,1,0,0,1.0,0.25
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1-8093,6,2,1-8093,4,1,0,0,1.0,0.25
180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,1-0037,1,7,1-0037,35,8,0,3,8.689183235168457,0.2482623781476702
285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,1-18615,6,2,1-18615,22,5,0,2,5.459455490112305,0.24815706773237747
514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,1-11206,20,17,1-11206,14,3,0,2,3.4594554901123047,0.24710396357945033
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,1-5043,1,7,1-5043,123,26,0,19,30.364827156066895,0.2468685134639585
444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,1-3217,18,16,1-3217,5,1,0,1,1.2297277450561523,0.24594554901123047
254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,1-8379,1,7,1-8379,5,1,0,1,1.2297277450561523,0.24594554901123047
374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,1-6919,14,11,1-6919,43,0,0,46,10.567476272583008,0.2457552621530932
355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,1-9498,10,5,1-9498,64,15,0,3,15.689183235168457,0.24514348804950714
376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,1-7874,10,5,1-7874,258,51,0,52,62.94584274291992,0.2439761346624803
540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,1-5413,1,7,1-5413,39,4,0,24,9.513465881347656,0.24393502259865785
191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,1-8328,4,12,1-8328,114,25,0,12,27.756732940673828,0.2434801135146827
396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,1-9963,10,5,1-9963,116,25,0,14,28.216188430786133,0.24324300371367355
278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,1-10762,2,14,1-10762,6,1,0,2,1.4594554901123047,0.24324258168538412
481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,1-10038,18,16,1-10038,76,15,0,15,18.445916175842285,0.24270942336634585
218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,1-9416,2,14,1-9416,13,2,0,5,3.1486387252807617,0.2422029788677509
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,1-9614,17,6,1-9614,30,7,0,1,7.229727745056152,0.24099092483520507
329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,1-1317,15,15,1-1317,414,78,0,93,99.36468029022217,0.24001130504884582
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,3,3,1-1350,195,31,0,67,46.39175891876221,0.23790645599365234
193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,1-9553,12,8,1-9553,23,5,0,2,5.459455490112305,0.2373676300048828
286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,1-3587,12,8,1-3587,46,7,0,17,10.90537166595459,0.23707329708596933
246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,MLG56,12,8,MLG56,511,101,0,87,120.98631381988525,0.23676382352228034
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1-7005,7,9,1-7005,285,47,0,89,67.44576930999756,0.2366518221403423
372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,1-6916,18,16,1-6916,43,9,0,5,10.148638725280762,0.23601485407629677
456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,1-8186,14,11,1-8186,26,4,0,9,6.067549705505371,0.2333672963655912
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1-9185,20,17,1-9185,31,6,0,5,7.148638725280762,0.23060124920260522
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1-6098,17,6,1-6098,1327,248,0,248,304.9724807739258,0.22982101037974814
232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,1-18371,9,13,1-18371,120,17,0,46,27.567476272583008,0.22972896893819172
328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,1-9497,17,6,1-9497,150,30,0,19,34.364827156066895,0.22909884770711264
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,12,8,MLG51,248,39,0,77,56.68903636932373,0.22858482406985375
330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,1-4531,7,9,1-4531,94,15,0,27,21.202649116516113,0.22556009698421398
354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,1-9417,15,15,1-9417,76,12,0,22,17.05401039123535,0.2243948735688862
152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,1-9500,10,5,1-9500,33,6,0,6,7.378366470336914,0.22358686273748224
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,1-9892,9,13,1-9892,22,4,0,4,4.918910980224609,0.22358686273748224
420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,1-8172,3,3,1-8172,40,8,0,4,8.91891098022461,0.22297277450561523
171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,1-8100,6,2,1-8100,19,4,0,1,4.229727745056152,0.2226172497397975
513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,1-8094,8,4,1-8094,58,11,0,8,12.837821960449219,0.22134175793877964
263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,1-6927,15,15,1-6927,179,28,0,50,39.48638725280762,0.22059434219445595
470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,1-1204,9,13,1-1204,39,4,0,20,8.594554901123047,0.22037320259289864
498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,1-19915,10,5,1-19915,62,12,0,7,13.608094215393066,0.21948539057085592
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,1-17733,15,15,1-17733,74,13,0,14,16.216188430786133,0.2191376814971099
414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,1-8285,14,11,1-8285,72,10,0,25,15.743193626403809,0.21865546703338623
248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,1-2400,3,3,1-2400,49,7,0,16,10.675643920898438,0.21787028409996811
552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,MLG46,6,2,MLG46,17,3,0,3,3.689183235168457,0.217010778539321
228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,1-17835,11,1,1-17835,17,3,0,3,3.689183235168457,0.217010778539321
394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,1-2423,20,17,1-2423,79,15,0,9,17.06754970550537,0.21604493298108066
157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,1-6061,17,6,1-6061,40,7,0,7,8.608094215393066,0.21520235538482665
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,MLG84,12,8,MLG84,63,13,0,2,13.459455490112305,0.21364215063670325
312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,1-3108,6,18,1-3108,18,2,0,8,3.8378219604492188,0.21321233113606772
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1-0405,6,2,1-0405,64,6,0,33,13.581015586853027,0.21220336854457855
318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,1-2324,3,3,1-2324,25,3,0,10,5.297277450561523,0.21189109802246095
183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,1-9496,17,6,1-9496,39,8,0,1,8.229727745056152,0.21101866012964493
412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,1-6858,15,15,1-6858,23,3,0,8,4.837821960449219,0.21034008523692255
458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,1-7182,19,10,1-7182,22,3,0,7,4.608094215393066,0.2094588279724121
478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,1-9394,9,13,1-9394,117,16,0,37,24.499926567077637,0.20940108176989433
303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,1-8157,19,13,1-8157,75,9,0,29,15.662104606628418,0.20882806142171223
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,MLG69,4,12,MLG69,576,109,0,49,120.25665950775146,0.20877892275651297
471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,1-9794,19,11,1-9794,46,5,0,20,9.594554901123047,0.20857728045919668
265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,1-11330,3,3,1-11330,14,2,0,4,2.9189109802246094,0.20849364144461496
187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,1-7321,17,6,1-7321,7,1,0,2,1.4594554901123047,0.20849364144461496
159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,1-10696,3,3,1-10696,24,5,0,0,5.0,0.20833333333333334
97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,1-9237,8,4,1-9237,38,6,0,8,7.837821960449219,0.2062584726434005
477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,1-9055,3,3,1-9055,12,2,0,2,2.4594554901123047,0.2049546241760254
304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,1-19004,1,7,1-19004,60,10,0,10,12.297277450561523,0.2049546241760254
536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,1-9971,3,3,1-9971,15,1,0,9,3.067549705505371,0.20450331370035807
497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,1-8493,10,15,1-8493,38,5,0,12,7.756732940673828,0.2041245510703639
138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,1-5515,4,12,1-5515,29,5,0,4,5.918910980224609,0.2041003786284348
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1-9805,8,4,1-9805,26,3,0,10,5.297277450561523,0.20374144040621245
522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,1-5282,11,1,1-5282,17,3,0,2,3.4594554901123047,0.20349738177131205
139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,1-7863,10,5,1-7863,351,62,0,40,71.1891098022461,0.20281797664457576
117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,1-0358,14,11,1-0358,22,4,0,2,4.459455490112305,0.20270252227783203
367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,1-8544,3,3,1-8544,54,10,0,4,10.91891098022461,0.20220205518934461
103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,1-8820,15,15,1-8820,83,14,0,12,16.756732940673828,0.20188834868281721
222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,1-4149,10,5,1-4149,16,3,0,1,3.2297277450561523,0.20185798406600952
419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,1-6692,9,13,1-6692,71,9,0,23,14.283738136291504,0.20117941037030287
538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,1-9576,8,20,1-9576,10,2,0,0,2.0,0.2
135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,1-9712,15,15,1-9712,10,2,0,0,2.0,0.2
541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,1-5424,7,9,1-5424,5,1,0,0,1.0,0.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72-0103,7,9,72-0103,71,2,0,53,14.175570487976074,0.1996559223658602
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1-9277,7,9,1-9277,48,4,0,24,9.513465881347656,0.19819720586140951
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,1-1258,10,5,1-1258,435,77,0,37,85.49992656707764,0.19655155532661525
452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,1-8529,6,2,1-8529,56,11,0,0,11.0,0.19642857142857142
174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,MLG38,2,14,MLG38,77,13,0,9,15.067549705505371,0.19568246370786196
288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,1-8590,9,13,1-8590,24,4,0,3,4.689183235168457,0.1953826347986857
459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,1-2545,8,4,1-2545,145,20,0,35,28.040471076965332,0.19338255915148506
423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,1-7122,9,13,1-7122,197,6,0,138,37.70242881774902,0.19138288739974124
296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,1-9404,15,15,1-9404,100,15,0,18,19.135099411010742,0.19135099411010742
