Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,1-4682,14,19,1-4682,16,3,0,4,6.512052059173584,0.407003253698349
392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,1-9609,10,6,1-9609,25,4,0,7,10.146091103553772,0.4058436441421509
390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,MLG64,12,17,MLG64,245,80,0,22,99.31628632545471,0.40537259724675395
368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,1-5197,19,12,1-5197,72,0,0,33,28.974429488182068,0.4024226317803065
283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,1-3535,9,8,1-3535,315,59,0,77,126.60700213909149,0.40192699091775075
232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,1-18371,9,8,1-18371,120,20,0,32,48.09641647338867,0.4008034706115723
478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,1-9394,9,8,1-9394,117,10,0,42,46.87654662132263,0.40065424462668914
254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,1-8379,2,19,1-8379,5,2,0,0,2.0,0.4
318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,1-2324,5,23,1-2324,25,10,0,0,10.0,0.4
436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,1-5161,11,18,1-5161,12,3,0,2,4.756026029586792,0.396335502465566
475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,1-18234,18,15,1-18234,43,17,0,0,17.0,0.3953488372093023
309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,1-3516,8,10,1-3516,156,8,0,61,61.558793902397156,0.39460765322049457
438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,MLG10,20,9,MLG10,60,21,0,3,23.634039044380188,0.3939006507396698
185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,1-8906,20,9,1-8906,15,5,0,1,5.878013014793396,0.39186753431955973
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,14,7,MLG51,248,48,0,56,97.16872882843018,0.39180939043721846
320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,MLG13,12,17,MLG13,140,38,0,19,54.682247281074524,0.39058748057910375
447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,1-7152,8,10,1-7152,109,3,0,45,42.51058566570282,0.3900053730798424
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,MLG69,17,16,MLG69,576,58,0,189,223.94445979595184,0.3887924649235275
290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,1-8341,7,14,1-8341,197,8,0,78,76.48501515388489,0.3882488078877405
220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,MLG73,4,21,MLG73,10,3,0,1,3.878013014793396,0.3878013014793396
510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,1-3206,11,18,1-3206,45,6,0,13,17.414169192314148,0.38698153760698106
124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,1-8427,17,16,1-8427,189,9,0,73,73.09495007991791,0.3867457676186133
316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,1-7441,1,17,1-7441,111,35,0,9,42.902117133140564,0.3865055597580231
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1-6098,16,3,1-6098,1327,73,0,501,512.8845204114914,0.3864992618021789
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,2,19,MLG59,71,23,0,5,27.39006507396698,0.3857755644220701
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,1-7481,7,14,1-7481,33,3,0,11,12.658143162727356,0.3835800958402229
171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,1-8100,10,6,1-8100,19,2,0,6,7.268078088760376,0.3825304257242303
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,1-1258,13,4,1-1258,435,53,0,129,166.26367890834808,0.38221535381229443
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1-7845,18,15,1-7845,36,12,0,2,13.756026029586792,0.3821118341551887
162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,1-8067,19,12,1-8067,322,0,0,138,121.16579604148865,0.37629129205431255
167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,1-4929,5,23,1-4929,10,2,0,2,3.756026029586792,0.3756026029586792
293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,1-8066,9,8,1-8066,86,10,0,25,31.9503253698349,0.37151541127715
345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,1-1131,1,20,1-1131,138,24,0,31,51.218403458595276,0.37114785114924115
471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,1-9794,9,8,1-9794,46,3,0,16,17.048208236694336,0.3706132225368334
183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,1-9496,16,22,1-9496,39,10,0,5,14.39006507396698,0.3689760275376149
292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,1-9997,1,23,1-9997,16,5,0,1,5.878013014793396,0.36737581342458725
509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,1-18935,13,4,1-18935,30,11,0,0,11.0,0.36666666666666664
97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,1-9237,21,5,1-9237,38,6,0,9,13.902117133140564,0.36584518771422536
406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,1-17907,8,10,1-17907,119,4,0,45,43.51058566570282,0.3656351736613682
314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,1-3139,7,14,1-3139,93,5,0,33,33.97442948818207,0.3653164461094846
208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,1-10468,19,12,1-10468,549,0,0,225,197.5529283285141,0.35984139950549016
202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,1-8988,10,6,1-8988,29,6,0,5,10.39006507396698,0.3582781059988614
448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,1-3106,10,6,1-3106,34,6,0,7,12.146091103553772,0.35723797363393445
218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,1-9416,14,7,1-9416,13,2,0,3,4.634039044380188,0.35646454187539905
86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,1-9345,17,16,1-9345,47,7,0,11,16.658143162727356,0.35442857793036925
384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,2,19,1-9270,128,26,0,22,45.31628632545471,0.35403348691761494
446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,1-3534,8,10,1-3534,279,8,0,103,98.43534052371979,0.3528148405868093
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1-9277,7,14,1-9277,48,2,0,17,16.926221251487732,0.3526296094059944
520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,1-2034,16,8,1-2034,16,3,0,3,5.634039044380188,0.35212744027376175
298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,1-7019,1,20,1-7019,107,6,0,36,37.608468532562256,0.35148101432301176
296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,1-9404,19,12,1-9404,100,0,0,40,35.12052059173584,0.3512052059173584
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1-8566,13,4,1-8566,5,0,0,2,1.756026029586792,0.3512052059173584
541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,1-5424,1,20,1-5424,5,0,0,2,1.756026029586792,0.3512052059173584
376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,1-7874,7,14,1-7874,258,14,0,87,90.38713228702545,0.35033772204273433
514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,1-11206,1,20,1-11206,14,4,0,1,4.878013014793396,0.34842950105667114
329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,1-1317,19,12,1-1317,414,0,0,164,143.99413442611694,0.34781191890366414
378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,1-6561,2,19,1-6561,65,12,0,12,22.536156177520752,0.3467100950387808
500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,1-0292,3,24,1-0292,99,14,0,23,34.19429934024811,0.34539696303280915
484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,MLG31,12,17,MLG31,33,7,0,5,11.39006507396698,0.3451534870899085
426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,1-4355,11,18,1-4355,49,9,0,9,16.902117133140564,0.3449411659824605
557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,1-9806,17,16,1-9806,8,1,0,2,2.756026029586792,0.344503253698349
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,1-17733,19,12,1-17733,74,0,0,29,25.462377429008484,0.3440861814730876
357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,1-4760,18,15,1-4760,40,12,0,2,13.756026029586792,0.3439006507396698
469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,1-8578,6,22,1-8578,11,2,0,2,3.756026029586792,0.34145691178061743
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,1-9630,13,19,1-9630,33,6,0,6,11.268078088760376,0.34145691178061743
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,1-8705,13,4,1-8705,48,11,0,6,16.268078088760376,0.3389182935158412
443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,1-3447,7,14,1-3447,110,3,0,39,37.242507576942444,0.33856825069947677
340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,1-3362,8,10,1-3362,117,8,0,36,39.608468532562256,0.3385339190817287
405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,1-3104,4,21,1-3104,16,1,0,5,5.39006507396698,0.33687906712293625
400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1-18709,18,3,1-18709,33,4,0,8,11.024104118347168,0.3340637611620354
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,1-3312,12,17,1-3312,36,5,0,8,12.024104118347168,0.33400289217631024
244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,MLG57,14,7,MLG57,629,65,0,165,209.87214744091034,0.3336600118297462
184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,1-8074,9,5,1-8074,145,22,0,30,48.34039044380188,0.33338200306070265
490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,1-3551,2,19,1-3551,6,2,0,0,2.0,0.3333333333333333
415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,1-1957,5,23,1-1957,47,13,0,3,15.634039044380188,0.33263912860383377
253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,1-4649,7,14,1-4649,244,8,0,83,80.87508022785187,0.33145524683545846
333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,1-11329,17,15,1-11329,14,2,0,3,4.634039044380188,0.3310027888842991
534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,1-9457,12,17,1-9457,11,1,0,3,3.634039044380188,0.3303671858527444
238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,1-9855,15,1,1-9855,8,0,0,3,2.634039044380188,0.3292548805475235
343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,1-4319,19,12,1-4319,163,0,0,61,53.558793902397156,0.3285815576834181
558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,1-0055,2,19,1-0055,18,5,0,1,5.878013014793396,0.3265562785996331
243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,1-1015,8,10,1-1015,155,4,0,53,50.53468978404999,0.32603025667129026
533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,1-7530,8,10,1-7530,25,2,0,7,8.146091103553772,0.3258436441421509
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,1-7807,8,10,1-7807,239,19,0,67,77.82687199115753,0.325635447661747
263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,1-6927,19,12,1-6927,179,0,0,66,57.948858976364136,0.32373664232605665
351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,1-19229,6,22,1-19229,38,7,0,6,12.268078088760376,0.3228441602305362
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1-6240,14,7,1-6240,698,112,0,128,224.3856658935547,0.3214694353775855
505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,1-4747,10,6,1-4747,25,1,0,8,8.024104118347168,0.3209641647338867
241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,1-19448,9,8,1-19448,45,3,0,13,14.414169192314148,0.3203148709403144
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,4,21,1-9379,58,8,0,12,18.536156177520752,0.31958889961242676
419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,1-6692,9,8,1-6692,71,6,0,19,22.682247281074524,0.3194682715644299
516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,1-5036,16,3,1-5036,14,0,0,5,4.39006507396698,0.31357607671192717
157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,1-6061,16,3,1-6061,40,2,0,12,12.536156177520752,0.3134039044380188
278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,1-10762,17,16,1-10762,6,1,0,1,1.878013014793396,0.31300216913223267
518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,1-1850,6,22,1-1850,30,5,0,5,9.39006507396698,0.31300216913223267
354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,1-9417,19,12,1-9417,76,0,0,27,23.706351399421692,0.31192567630818013
370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,MLG62,17,16,MLG62,525,67,0,110,163.58143162727356,0.3115836792900449
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1-4020,14,7,1-4020,37,8,0,4,11.512052059173584,0.3111365421398266
328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,1-9497,16,3,1-9497,150,7,0,45,46.51058566570282,0.31007057110468544
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,72-12171,2,9,72-12171,19,5,0,1,5.878013014793396,0.30936910604175766
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,1-5043,1,20,1-5043,123,14,0,27,37.70635139942169,0.3065557024343227
205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,1-8018,12,17,1-8018,58,9,0,10,17.78013014793396,0.3065539680678269
470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,1-1204,20,9,1-1204,39,4,0,9,11.902117133140564,0.3051824905933478
480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,1-1005,16,3,1-1005,125,10,0,32,38.09641647338867,0.30477133178710936
189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,1-9156,9,8,1-9156,268,27,0,62,81.43680691719055,0.3038686825268304
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,1-1224,19,12,1-1224,151,0,0,52,45.65667676925659,0.3023620978096463
207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,1-7058,20,9,1-7058,80,11,0,15,24.17019522190094,0.30212744027376176
234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,MLG29,4,21,MLG29,164,24,0,29,49.462377429008484,0.3015998623720029
285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,1-18615,14,7,1-18615,22,4,0,3,6.634039044380188,0.30154722929000854
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1-7005,7,14,1-7005,285,4,0,93,85.65521037578583,0.3005445978097748
538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,1-9576,5,23,1-9576,10,3,0,0,3.0,0.3
286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,1-3587,6,22,1-3587,46,5,0,10,13.78013014793396,0.2995680466942165
214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,1-0053,16,3,1-0053,142,10,0,37,42.48648154735565,0.29920057427715246
139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,1-7863,21,5,1-7863,351,32,0,83,104.87508022785187,0.29878940235855234
339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,1-3523,11,18,1-3523,543,75,0,99,161.9232884645462,0.29820126789050866
481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,1-10038,6,22,1-10038,76,13,0,11,22.658143162727356,0.2981334626674652
430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,1-3141,1,20,1-3141,136,13,0,31,40.218403458595276,0.2957235548426123
231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,1-8450,13,4,1-8450,52,10,0,6,15.268078088760376,0.2936168863223149
381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,1-2335,9,8,1-2335,145,17,0,29,42.462377429008484,0.29284398226902403
564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,1-9034,12,24,1-9034,3,0,0,1,0.878013014793396,0.292671004931132
450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,1-2297,2,19,1-2297,25,2,0,6,7.268078088760376,0.290723123550415
335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,1-8910,7,14,1-8910,137,2,0,43,39.75455963611603,0.2901792674169053
188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,1-20167,16,3,1-20167,56,3,0,15,16.17019522190094,0.28875348610537394
363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,1-10785,21,5,1-10785,279,40,0,46,80.38859868049622,0.2881311780662947
163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,1-9137,1,20,1-9137,111,3,0,33,31.974429488182068,0.28805792331695557
128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,1-19286,18,15,1-19286,40,8,0,4,11.512052059173584,0.2878013014793396
396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,1-9963,2,19,1-9963,116,21,0,14,33.292182207107544,0.2870015707509271
336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,1-1827,4,21,1-1827,24,6,0,1,6.878013014793396,0.2865838756163915
524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,1-9338,6,22,1-9338,29,3,0,6,8.268078088760376,0.2851061409917371
319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,1-3584,11,18,1-3584,26,3,0,5,7.39006507396698,0.2842332720756531
258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,1-9516,8,10,1-9516,76,4,0,20,21.56026029586792,0.2836876354719463
