,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
181,1-3089,8,6,1-3089,16,1,0,4,3.327621936798096,0.2079763710498809
182,MLG49,17,6,MLG49,185,32,0,11,38.40096032619476,0.2075727585199717
183,1-7752,6,20,1-7752,29,3,0,5,5.90952742099762,0.2037768076206075
184,1-18558,14,16,1-18558,307,36,0,45,62.18574678897858,0.2025594357947185
185,1-4020,21,17,1-4020,37,4,0,6,7.491432905197143,0.2024711595999228
186,1-8285,4,22,1-8285,72,7,0,13,14.564771294593813,0.2022884902026918
187,1-3217,2,20,1-3217,5,1,0,0,1.0,0.2
188,1-0033,3,24,1-0033,10,2,0,0,2.0,0.2
189,1-8379,1,18,1-8379,5,1,0,0,1.0,0.2
190,1-8427,19,17,1-8427,189,11,0,46,37.7676522731781,0.1998288480062333
191,MLG75,5,21,MLG75,185,17,0,34,36.78478646278381,0.1988366835826152
192,1-8341,8,13,1-8341,197,17,0,38,39.11240839958191,0.1985401441603142
193,1-0205,15,23,1-0205,34,5,0,3,6.745716452598572,0.1984034250764285
194,1-0027,5,21,1-0027,29,4,0,3,5.745716452598572,0.1981281535378818
195,1-2714,16,15,1-2714,61,8,0,7,12.073338389396667,0.1979235801540437
196,1-9115,4,22,1-9115,16,2,0,2,3.163810968399048,0.1977381855249405
197,1-3564,11,7,1-3564,41,4,0,7,8.073338389396667,0.1969106924243089
198,1-5172,18,11,1-5172,120,9,0,25,23.54763710498809,0.1962303092082341
199,1-1350,1,18,1-1350,195,12,0,45,38.18574678897858,0.1958243425075824
200,1-8421,23,14,1-8421,109,12,0,16,21.310487747192383,0.1955090619008475
201,1-8573,4,22,1-8573,184,22,0,24,35.965731620788574,0.195465932721677
202,1-9156,11,7,1-9156,268,22,0,52,52.25908517837525,0.1949965864864748
203,1-8906,6,20,1-8906,15,0,0,5,2.90952742099762,0.1939684947331746
204,MLG45,2,19,MLG45,70,6,0,13,13.564771294593813,0.1937824470656258
205,1-8988,15,23,1-8988,29,5,0,1,5.581905484199524,0.192479499455156
206,MLG53,21,12,MLG53,91,7,0,18,17.47429871559143,0.1920252606108948
207,1-9500,14,16,1-9500,33,4,0,4,6.327621936798096,0.191746119296912
208,MLG52,9,4,MLG52,125,22,0,3,23.74571645259857,0.1899657316207885
209,1-2297,18,22,1-2297,25,3,0,3,4.745716452598572,0.1898286581039428
210,1-8084,10,10,1-8084,82,8,0,13,15.564771294593813,0.1898142840804123
211,1-6227,1,18,1-6227,52,4,0,10,9.81905484199524,0.1888279777306776
212,1-8074,11,7,1-8074,145,11,0,28,27.29335355758667,0.1882300245350804
213,1-6693,10,10,1-6693,98,12,0,11,18.400960326194763,0.1877649012877016
