Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
562,562,562,562,562,562,562,562,562,1-0003,20,14,1-0003,17,5,0,4,8.655946016311646,0.5091732950771556
217,217,217,217,217,217,217,217,217,1-9630,7,6,1-9630,33,4,0,14,16.79581105709076,0.5089639714269927
388,388,388,388,388,388,388,388,388,MLG49,13,12,MLG49,185,36,0,63,93.58114975690842,0.5058440527400455
128,128,128,128,128,128,128,128,128,1-19286,13,12,1-19286,40,10,0,11,20.053851544857025,0.5013462886214256
161,161,161,161,161,161,161,161,161,MLG41,14,11,MLG41,66,12,0,23,33.02168959379196,0.5003286302089691
440,440,440,440,440,440,440,440,440,MLG52,7,9,MLG52,125,21,0,45,62.12939268350601,0.4970351414680481
259,259,259,259,259,259,259,259,259,1-3596,18,15,1-3596,223,34,0,83,109.86087983846664,0.4926496853742899
209,209,209,209,209,209,209,209,209,1-9938,15,10,1-9938,55,7,0,21,26.19371658563614,0.47624939246611164
302,302,302,302,302,302,302,302,302,MLG51,13,12,MLG51,248,58,0,64,116.49513626098633,0.4697384526652674
246,246,246,246,246,246,246,246,246,MLG56,4,16,MLG56,511,71,0,180,235.51757073402405,0.4608954417495578
384,384,384,384,384,384,384,384,384,1-9270,12,6,1-9270,128,16,0,46,58.04337918758392,0.4534638999029994
560,560,560,560,560,560,560,560,560,1-0027,11,8,1-0027,29,2,0,12,12.967838048934937,0.4471668292736185
378,378,378,378,378,378,378,378,378,1-6561,12,6,1-6561,65,8,0,23,29.02168959379196,0.446487532212184
241,241,241,241,241,241,241,241,241,1-19448,16,14,1-19448,45,9,0,12,19.967838048934937,0.44372973442077634
99,99,99,99,99,99,99,99,99,1-5775,13,12,1-5775,244,31,0,81,105.03290683031082,0.4304627329111099
396,396,396,396,396,396,396,396,396,1-9963,12,6,1-9963,116,13,0,40,49.559460163116455,0.42723672554410735
14,14,14,14,14,14,14,14,14,1-6098,11,8,1-6098,1327,187,0,413,564.4764261841774,0.42537786449448184
358,358,358,358,358,358,358,358,358,1-9831,10,10,1-9831,132,4,0,57,56.09723073244095,0.42497902070031024
400,400,400,400,400,400,400,400,400,1-18709,11,8,1-18709,33,3,0,12,13.967838048934937,0.42326781966469507
327,327,327,327,327,327,327,327,327,P-16616,8,11,P-16616,28,9,0,3,11.741959512233734,0.4193556968654905
379,379,379,379,379,379,379,379,379,1-4640,9,13,1-4640,87,19,0,19,36.365743577480316,0.41799705261471626
214,214,214,214,214,214,214,214,214,1-0053,11,8,1-0053,142,12,0,51,58.61331170797348,0.4127698007603766
149,149,149,149,149,149,149,149,149,MLG58,13,12,MLG58,71,11,0,20,29.279730081558228,0.41239056452898915
344,344,344,344,344,344,344,344,344,1-6035,11,8,1-6035,23,3,0,7,9.39790552854538,0.4086045881976252
106,106,106,106,106,106,106,106,106,MLG69,18,15,MLG69,576,64,0,185,233.0875032544136,0.40466580426113474
261,261,261,261,261,261,261,261,261,1-1942,5,4,1-1942,34,0,0,15,13.70979756116867,0.40322934003437266
314,314,314,314,314,314,314,314,314,1-3139,5,4,1-3139,93,0,0,41,37.47344666719437,0.40294028674402543
73,73,73,73,73,73,73,73,73,1-5355,12,6,1-5355,53,3,0,20,21.279730081558228,0.401504341161476
536,536,536,536,536,536,536,536,536,1-9971,18,7,1-9971,15,6,0,0,6.0,0.4
386,386,386,386,386,386,386,386,386,MLG68,15,7,MLG68,642,119,0,150,256.0979756116867,0.39890650406804784
188,188,188,188,188,188,188,188,188,1-20167,11,8,1-20167,56,3,0,21,22.19371658563614,0.3963163676006453
25,25,25,25,25,25,25,25,25,1-9607,13,12,1-9607,19,2,0,6,7.483919024467468,0.393890474971972
245,245,245,245,245,245,245,245,245,1-6647,7,15,1-6647,62,7,0,19,24.365743577480316,0.3929958641529083
