Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
122,122,122,122,122,122,122,122,122,122,122,122,1-9404,12,1-9404,6,100,17,0,24,20.514514923095703,0.20514514923095703
84,84,84,84,84,84,84,84,84,84,84,84,1-2382,10,1-2382,4,139,23,0,37,28.41821050643921,0.20444755760028208
184,184,184,184,184,184,184,184,184,184,184,184,1-2701,9,1-2701,19,61,11,0,10,12.464381217956543,0.20433411832715645
145,145,145,145,145,145,145,145,145,145,145,145,1-9491,8,1-9491,20,80,14,0,16,16.34300994873047,0.20428762435913086
263,263,263,263,263,263,263,263,263,263,263,263,1-6061,17,1-6061,12,40,7,0,8,8.171504974365234,0.20428762435913086
477,477,477,477,477,477,477,477,477,477,477,477,1-8222,16,1-8222,16,12,2,0,3,2.439314365386963,0.20327619711558023
67,67,67,67,67,67,67,67,67,67,67,67,1-3516,20,1-3516,8,156,17,0,100,31.64381217956543,0.20284494986900917
286,286,286,286,286,286,286,286,286,286,286,286,1-1770,2,1-1770,11,35,7,0,0,7.0,0.2
369,369,369,369,369,369,369,369,369,369,369,369,MLG39,8,MLG39,20,23,4,0,4,4.585752487182617,0.19938054292098337
71,71,71,71,71,71,71,71,71,71,71,71,1-4417,22,1-4417,18,151,22,0,55,30.054096698760986,0.19903375297192707
0,0,0,0,0,0,0,0,0,0,0,0,1-6098,13,1-6098,7,1327,215,0,326,262.7388277053833,0.19799459510578998
91,91,91,91,91,91,91,91,91,91,91,91,1-9270,15,1-9270,14,128,21,0,25,24.660953044891357,0.19266369566321373
85,85,85,85,85,85,85,85,85,85,85,85,1-1131,17,1-1131,12,138,23,0,24,26.514514923095703,0.19213416610938916
320,320,320,320,320,320,320,320,320,320,320,320,1-18203,19,1-18203,9,29,2,0,24,5.514514923095703,0.1901556870033001
24,24,24,24,24,24,24,24,24,24,24,24,1-3535,18,1-3535,10,315,44,0,108,59.815317153930664,0.189889895726764
191,191,191,191,191,191,191,191,191,191,191,191,MLG44,9,MLG44,19,59,9,0,15,11.196571826934814,0.1897724038463528
93,93,93,93,93,93,93,93,93,93,93,93,MLG52,17,MLG52,12,125,19,0,31,23.539581775665283,0.18831665420532226
144,144,144,144,144,144,144,144,144,144,144,144,1-7058,23,1-7058,17,80,15,0,0,15.0,0.1875
47,47,47,47,47,47,47,47,47,47,47,47,1-0303,8,1-0303,20,212,36,0,25,39.66095304489136,0.18707996719288375
205,205,205,205,205,205,205,205,205,205,205,205,1-8398,10,1-8398,4,54,9,0,7,10.02506685256958,0.18564938615869592
20,20,20,20,20,20,20,20,20,20,20,20,1-8067,12,1-8067,6,322,50,0,63,59.22560167312622,0.18393043997865285
350,350,350,350,350,350,350,350,350,350,350,350,1-9609,22,1-9609,12,25,4,0,4,4.585752487182617,0.18343009948730468
414,414,414,414,414,414,414,414,414,414,414,414,MLG06,14,MLG06,15,18,3,0,2,3.2928762435913086,0.18293756908840603
166,166,166,166,166,166,166,166,166,166,166,166,MLG58,17,MLG58,12,71,10,0,20,12.928762435913086,0.18209524557624066
385,385,385,385,385,385,385,385,385,385,385,385,1-18615,2,1-18615,20,22,4,0,0,4.0,0.18181818181818182
483,483,483,483,483,483,483,483,483,483,483,483,1-8578,5,1-8578,1,11,2,0,0,2.0,0.18181818181818182
406,406,406,406,406,406,406,406,406,406,406,406,1-3265,7,1-3265,3,19,3,0,3,3.439314365386963,0.18101654554668226
343,343,343,343,343,343,343,343,343,343,343,343,MLG67,8,MLG67,20,27,4,0,6,4.878628730773926,0.18068995299162688
331,331,331,331,331,331,331,331,331,331,331,331,1-5981,6,1-5981,2,28,4,0,7,5.02506685256958,0.17946667330605642
211,211,211,211,211,211,211,211,211,211,211,211,1-8042,9,1-8042,19,52,8,0,9,9.317943096160889,0.1791912133877094
332,332,332,332,332,332,332,332,332,332,332,332,P-16616,23,P-16616,17,28,5,0,0,5.0,0.17857142857142858
425,425,425,425,425,425,425,425,425,425,425,425,1-0003,2,1-0003,11,17,3,0,0,3.0,0.17647058823529413
117,117,117,117,117,117,117,117,117,117,117,117,1-7019,19,1-7019,9,107,13,0,40,18.857524871826172,0.1762385502039829
194,194,194,194,194,194,194,194,194,194,194,194,1-8018,8,1-8018,20,58,9,0,8,10.171504974365234,0.17537077542009025
98,98,98,98,98,98,98,98,98,98,98,98,1-5043,14,1-5043,15,123,17,0,31,21.539581775665283,0.17511855102166896
46,46,46,46,46,46,46,46,46,46,46,46,1-2282,10,1-2282,4,219,29,0,62,38.079163551330566,0.17387745913849573
247,247,247,247,247,247,247,247,247,247,247,247,1-6734,12,1-6734,14,44,6,0,11,7.610819339752197,0.17297316681254993
355,355,355,355,355,355,355,355,355,355,355,355,1-4747,14,1-4747,15,25,4,0,2,4.292876243591309,0.17171504974365234
216,216,216,216,216,216,216,216,216,216,216,216,1-8397,10,1-8397,4,51,7,0,12,8.757257461547852,0.17171093061858533
