conflicts,quints,quads,four in five slots,triple in 24h (no gaps),triple in same day (no gaps),three in four slots,evening/morning b2b,other b2b,two in three slots,singular late exam,"two exams, large gap",avg_max,lateness,size_cutoff,reserved,num_blocks,alpha,gamma,delta,vega,theta,large_block_size,large_exam_weight,large_block_weight,large_size_1,large_cutoff_freedom,tradeoff,flpens,source_file
1,0,5,7,58,55,327,514,1160,3640,1002,748,15.765321100917433,36422,265.0,0.0,20.0,68.63195717334747,40.50118207931519,6.188405156135559,4.1503190994262695,4.3542250990867615,1851.937174797058,55.14819622039795,36.858195066452026,367.8237438201904,1.232429027557373,0.9888280630111694,0.3832284808158874,20250619_072545i11fl_test-5c0aa5b6aad6ed8817e8bbcb29e1d008.csv
1,0,2,0,39,16,222,428,860,3445,876,692,16.32330275229358,42363,268.0,2.0,21.0,71.83495998382568,47.62559860944748,4.984548091888428,4.111636281013489,9.527631998062134,1039.6726690232754,0.6718425080180168,99.47303533554076,223.5928431153297,2.7288286685943604,0.2741749584674835,0.2095375061035156,20250619_072545i12fl_test-d0c899587b34937ea7a58457788c4131.csv
1,0,5,3,31,28,293,511,698,3543,1130,856,16.544892966360855,41089,268.0,2.0,21.0,57.74631381034851,30.91013103723526,5.895183682441711,2.5949567556381226,5.51385223865509,1783.7064862251282,17.621895670890808,62.63431906700134,235.74408292770383,2.6529040336608887,0.709934651851654,0.5375643968582153,20250619_072545i13fl_test-f5011768980cde6b1bc888f9abc61f90.csv
0,0,2,7,36,26,335,446,1021,3696,859,692,15.72593272171254,30733,222.0,2.0,20.0,84.38849210739136,7.08810105919838,5.20345151424408,2.9166895151138306,3.824733793735504,1204.941138625145,76.22835040092468,31.38912320137024,275.2524435520172,3.379314422607422,0.1611108779907226,0.2646177113056183,20250619_072545i14fl_test-ad417688f9c0ea0d428bfb2ff4925584.csv
14,0,7,12,89,36,414,618,1232,3261,1083,569,15.561834862385322,23529,259.0,6.0,20.0,67.34545171260834,41.06712818145752,2.9053494334220886,1.3932707905769348,0.2028654888272285,1689.4134879112244,99.92961883544922,34.79755222797394,254.60107922554016,0.2828005254268646,0.4038737118244171,0.7534950375556946,20250619_072545i15fl_test-40c55d151e345a0693f892027246cb28.csv
14,0,5,7,105,18,364,791,990,3780,1310,629,16.357798165137616,34266,259.0,6.0,20.0,55.65213084220886,36.433263421058655,3.713299334049225,0.832727923989296,0.5589314177632332,1365.115910768509,25.951316952705383,65.0553822517395,315.83173274993896,2.083073616027832,0.822102427482605,0.6485483646392822,20250619_072545i16fl_test-84d42b0133485e563a5102ef9ebb0fa0.csv
7,0,1,7,31,27,268,528,1039,2914,1080,812,16.299266055045873,36856,218.0,2.0,23.0,62.66888082027435,24.187182188034058,6.8474280834198,5.428358316421509,5.281482934951782,1991.6876554489136,0.1658889465034008,30.77842891216278,256.8766176700592,1.3898332118988037,0.8132472634315491,0.5415834188461304,20250619_072545i17fl_test-2b5281eeb17d2e85f74a2eaa93bd8421.csv
0,0,3,5,57,27,283,449,847,4242,1423,764,16.700611620795108,34962,222.0,2.0,20.0,10.813370998948812,28.62412989139557,2.777039110660553,0.2383666299283504,0.935427024960518,1001.3902876526116,81.08941912651062,54.34486269950867,276.95698738098145,3.804343461990357,0.6137062311172485,0.3574758470058441,20250619_072545i18fl_test-2401dc5f524a3f91cd23658f0b71d92c.csv
1,0,2,3,40,32,287,307,1022,3605,756,603,15.69724770642202,30439,268.0,2.0,21.0,87.84334361553192,25.27223899960518,8.526986241340637,6.8405455350875854,4.942120909690857,1602.706789970398,32.24234879016876,90.56521654129028,261.16994619369507,0.318418025970459,0.6590036153793335,0.2994013130664825,20250619_072545i19fl_test-b847dda87a7f8e2aac7360468ea49ecb.csv
7,0,0,4,46,33,318,586,1063,3014,785,728,15.694373088685015,38356,218.0,2.0,23.0,51.2228462100029,14.969973415136336,3.3396005630493164,6.871973872184753,1.8984541296958923,1098.5788851976397,71.16241455078125,59.31471586227417,285.5490028858185,3.918490171432495,0.6359571218490601,0.9086757898330688,20250619_072545i20fl_test-46190e170c49307f118581bc6df7f627.csv
2,0,1,6,40,19,278,392,960,2944,973,645,16.257798165137615,32564,206.0,4.0,21.0,88.56383860111237,47.0715668797493,8.92673134803772,9.40066695213318,9.475497603416445,1859.1790199279783,62.44836449623108,29.12122905254364,258.2150340080261,3.368342638015747,0.5812530517578125,0.8403160572052002,20250619_072545i21fl_test-3e322c06f262df5a44eab26f4c46dba8.csv
1,0,6,5,56,48,345,541,1009,4172,990,695,15.711743119266057,35662,265.0,0.0,20.0,24.099600315093998,13.332136124372482,3.528214395046234,2.8101742267608643,9.19935405254364,1944.82684135437,89.97529745101929,27.244362235069275,317.05896854400635,1.853061556816101,0.2015761584043502,0.3585063815116882,20250619_072545i22fl_test-4cf2550a0c412f0d44204520e793ae6e.csv
1,0,5,3,53,31,441,586,1303,3100,844,648,15.559266055045873,26576,203.0,3.0,20.0,52.21450984477997,11.236650943756104,7.652124166488647,4.513221085071564,6.580607295036316,1602.7724146842957,14.096784591674805,14.78586345911026,249.84030723571777,2.949740171432495,0.9387049078941344,0.5005258917808533,20250619_072545i23fl_test-f377164079973d8fff7afd34a8ea20a8.csv
1,0,3,6,56,18,291,427,794,3879,965,629,15.888807339449542,35034,268.0,2.0,21.0,69.82610881328583,47.63732522726059,5.334110856056213,6.157858371734619,8.837027549743652,1727.897226810455,15.074248611927032,92.0232594013214,327.80866622924805,2.7864134311676025,0.6869120001792908,0.0844701528549194,20250619_072545i24fl_test-415501cd25ff3bc7cffe7b8b10135341.csv
0,0,2,6,42,33,423,479,1048,3962,1090,522,15.72428134556575,18372,222.0,2.0,20.0,73.96710157394409,18.45294788479805,6.653146743774414,1.3268986344337463,8.186283111572266,1377.9163658618927,82.57548809051514,60.704582929611206,250.43323636054996,0.5434855222702026,0.0553521998226642,0.2800570130348205,20250619_072545i25fl_test-be2b4cfe872a0284ebdac9f4e5f0b138.csv
7,0,2,5,42,27,297,520,1036,2688,1083,764,16.183119266055044,35842,218.0,2.0,23.0,72.8019392490387,44.45721507072449,7.116568684577942,7.460803389549255,9.16476309299469,1933.0055713653564,57.78946876525879,44.11799907684326,365.845799446106,1.9055273532867432,0.5760653018951416,0.6261635422706604,20250619_072545i26fl_test-fc7d09b531d829298e1f7ffaa14eabb7.csv
0,0,1,7,46,27,300,765,690,3562,990,688,16.28862385321101,31913,275.0,1.0,20.0,41.646000146865845,47.84254372119904,0.3330530971288681,9.632124900817873,8.011038899421692,1848.129689693451,33.21757912635803,88.72692584991455,280.9040486812592,3.057166814804077,0.5812860727310181,0.6194514036178589,20250619_072545i27fl_test-bfee281e39737e5838df9a8557e0275f.csv
1,0,3,7,52,49,377,257,1252,3668,891,631,15.86434250764526,28722,203.0,3.0,20.0,38.69709640741348,35.13117432594299,5.259456634521484,2.2827042639255524,7.570062875747681,1557.904064655304,74.99516606330872,34.45729911327362,317.966890335083,1.0279303789138794,0.2221071869134903,0.789633572101593,20250619_072545i28fl_test-33784ea39176aab7b4de43e8707e67c9.csv
0,0,1,4,49,30,344,449,1174,3278,1023,717,16.41730886850153,33696,221.0,1.0,23.0,74.48472499847412,14.56405259668827,8.839603662490845,2.7839085459709167,2.0295870304107666,1023.1708362698556,75.47436356544495,46.989575028419495,278.3996403217316,2.5724546909332275,0.2499020099639892,0.8449418544769287,20250619_072545i29fl_test-ae9f7f29a53e5864136c7c0ca833bfc3.csv
14,0,3,12,75,43,416,557,1330,4065,1101,617,15.615535168195718,28521,259.0,6.0,20.0,96.82180225849152,30.865606367588043,8.604565858840942,9.128144979476929,0.6811294704675674,1411.206215620041,58.83368253707886,19.73077654838562,369.9755072593689,1.1747984886169434,0.4068441689014435,0.1496821641921997,20250619_072545i30fl_test-1e721b308ab453dbe09a326ea0f6e8a4.csv
2,0,1,5,63,24,333,466,994,3216,855,554,15.84091743119266,32225,206.0,4.0,21.0,35.38030356168747,36.650484800338745,0.1216031797230243,4.718687236309052,6.61981463432312,1908.6050391197205,46.352604031562805,58.18809270858765,294.8254585266113,0.3078154325485229,0.4735007286071777,0.6767091155052185,20250619_072545i31fl_test-d7f8e05d1596a4c79bdf94b34d0e4ca4.csv
1,0,3,8,52,24,305,458,1075,3411,985,636,16.38599388379205,43612,265.0,0.0,20.0,21.925594806671143,21.30050301551819,5.592091679573059,0.5763339996337891,3.447222411632538,1441.570371389389,73.15237522125244,97.21546173095705,215.73175638914108,3.5968592166900635,0.7980347275733948,0.4427122175693512,20250619_072545i32fl_test-87dcb89a2b6efdf9aa5b1c53ba4c27d7.csv
14,0,7,14,80,40,452,444,1434,3849,939,595,15.231070336391438,27094,259.0,6.0,20.0,86.39781534671783,27.40239843726158,4.46483701467514,4.946718811988831,9.236419200897217,1465.4908180236816,93.08215379714966,63.9837920665741,203.0649172142148,0.4725168943405151,0.7837020754814148,0.899510383605957,20250619_072545i34fl_test-97174d8c192f19072b72903762d1cfa5.csv
14,0,5,11,74,36,443,604,1071,3686,859,536,15.6285626911315,30730,259.0,6.0,20.0,58.37797403335571,12.046293169260023,4.007928371429443,5.59481680393219,8.12441110610962,1169.5014536380768,44.81326043605805,91.02742671966551,214.5260453224182,1.3427544832229614,0.2160181254148483,0.5230481028556824,20250619_072545i33fl_test-eb84960c304df1497c523dedeec648a7.csv
0,0,0,8,44,28,408,474,1324,3118,1356,741,16.15363914373089,31223,259.2189848423004,3.095840841531753,22.440713822841644,50.79765439033508,27.06536278128624,0.3866692632436752,4.9603524804115295,2.835904061794281,1569.0261125564575,94.16530728340148,80.99724054336548,319.7675466537476,1.0699682235717771,0.319733202457428,0.7662999629974365,20250619_072545i35fl_test-0ea4fdd8fdc6595a8e41bc63fe15e7fb.csv
7,0,1,3,58,32,292,517,1041,3159,952,823,16.279816513761467,40738,218.0,2.0,23.0,55.11100590229034,45.33691793680191,1.9393715262413025,7.936915159225464,7.924512028694153,1320.9115862846377,53.61173748970032,23.899175226688385,399.8215675354004,2.794429302215576,0.704430878162384,0.1613808870315551,20250619_072545i36fl_test-6bd4eb965fce95bb3c8f8519b0ff3330.csv
14,0,4,8,87,32,348,509,1177,3790,1269,642,16.45467889908257,36936,259.0,6.0,20.0,16.32395014166832,41.70585870742798,1.420637220144272,6.567124128341675,3.173806369304657,1290.270835161209,38.67796957492829,56.524914503097534,272.86776900291443,3.717030048370361,0.1894928812980651,0.9947121739387512,20250619_072545i37fl_test-03d54934bb672d75d0e8c44106ad4eb6.csv
1,0,5,6,68,56,389,479,1223,3943,1040,638,15.078532110091745,26766,265.0,0.0,20.0,15.871169790625572,14.842424988746645,0.9717561304569244,3.3205094933509827,0.132297733798623,1525.515913963318,14.454813301563265,65.78319668769836,252.46893763542172,1.979919195175171,0.3923051953315735,0.8823068737983704,20250619_072545i38fl_test-6462a14f010f16ee5be57a3cdbca7622.csv
2,0,1,6,37,16,315,436,810,3679,969,710,16.004587155963304,38013,273.0,2.0,20.0,47.00952500104904,31.647655367851257,9.999737739562988,8.93046259880066,2.03897625207901,1755.7727098464966,29.047200083732605,71.72472476959229,391.9162154197693,2.91445255279541,0.206639364361763,0.8544331192970276,20250619_072545i39fl_test-a0b928ac6b9fa1da473fada01b134d0c.csv
0,0,4,8,43,23,389,512,1325,2911,1235,722,16.753639143730886,47778,251.0,2.0,23.0,97.28074431419373,42.328514754772186,7.590974569320679,2.213639169931412,2.7158844470977783,1148.789331316948,98.1544315814972,20.86765319108963,287.4134719371796,3.97682523727417,0.9283661246299744,0.3390256762504577,20250619_072545i40fl_test-77aaed5dbcf1dca75fc3883ddb8d8636.csv
0,0,3,6,56,40,341,476,1330,3120,987,669,16.329969418960246,33876,259.0,3.0,22.0,19.414502680301663,18.56734544038773,1.7591801285743711,0.5136341601610184,5.47200083732605,1465.8137559890747,71.29089832305908,65.389084815979,316.12563133239746,2.283332347869873,0.9772032499313354,0.1816489994525909,20250619_072545i41fl_test-bbba6452b9ca4e2ca1042fc76168ea62.csv
0,0,2,11,54,37,363,603,1539,2940,975,617,15.734128440366971,25292,221.0,1.0,23.0,82.88891732692719,9.455488808453085,5.007580518722534,9.96761918067932,2.7470803260803223,1361.8964552879331,63.023841381073,45.35972476005554,346.21604681015015,0.8987399339675903,0.7529004812240601,0.2131203562021255,20250619_072545i42fl_test-cf3c4c9533f1c34cc43b3ec5e8550146.csv
2,0,3,6,39,30,355,323,985,3184,968,713,15.795902140672784,26718,206.0,4.0,21.0,74.94585573673248,49.15506660938263,5.736992955207825,9.70546007156372,2.5517278909683228,1599.7957587242126,60.27687191963196,76.55372023582458,328.537917137146,2.791226863861084,0.1518110632896423,0.0813637822866439,20250619_072545i43fl_test-c4e2a64c75406ab7df1c7d2f33855460.csv
2,0,3,3,67,32,304,583,905,3663,811,641,15.524097859327217,27921,206.0,4.0,21.0,14.268300123512743,43.15901517868042,2.564573884010315,7.121025323867798,4.293040931224823,1004.7558872029184,12.922793626785278,1.4968696981668472,362.08170652389526,1.433944821357727,0.5316932797431946,0.5614314675331116,20250619_072545i44fl_test-0f59d317fb3f593b5a4de1f2b350a9e1.csv
1,0,3,7,52,28,320,429,1183,3854,770,642,15.47993883792049,31934,265.0,0.0,20.0,67.26510882377625,20.66577166318893,0.3804625570774078,7.414266467094421,8.192441463470459,1324.756681919098,32.054299116134644,33.07395577430725,289.58603739738464,3.4880757331848145,0.047779630869627,0.6636256575584412,20250619_072545i45fl_test-f385a5c4318e957d4d9fd32ea98de6d3.csv
14,0,4,8,89,42,388,431,1235,3888,1249,607,16.06764525993884,30189,259.0,6.0,20.0,24.286587834358212,35.31813770532608,8.574113845825195,4.910072386264801,8.120352029800415,1530.1854610443115,3.0082181096076965,90.54904580116272,316.41958951950073,1.1555579900741575,0.3800294995307922,0.0081777572631835,20250619_072545i46fl_test-f977ba3e99c99b1984f121a7162b8853.csv
2,0,2,15,56,30,372,500,1263,3267,597,504,15.074434250764526,27639,206.0,4.0,21.0,28.13215672969818,12.017743736505508,8.420329093933105,9.786954522132874,8.827638030052185,1312.0774030685425,8.426783978939056,67.5020694732666,387.1427536010742,3.0308830738067627,0.9157273173332214,0.2392031252384185,20250619_072545i48fl_test-0b9960a5f9d6473fd5b0bb8e47571df5.csv
0,0,3,6,55,35,337,528,1380,3056,1086,661,16.263853211009174,33968,251.0,2.0,23.0,41.49294793605805,15.079091042280195,7.883434891700745,3.84758323431015,7.650735974311829,1476.8520891666412,51.43512487411499,68.4667706489563,345.94855308532715,0.2430113404989242,0.6489830017089844,0.6516911387443542,20250619_072545i47fl_test-a5d2c7ce322fc1a700d31c1c6d62dfe7.csv
14,0,4,5,87,29,349,785,870,4046,1325,649,16.358593272171255,34958,259.0,6.0,20.0,45.63399970531464,23.1060802936554,9.67674195766449,1.079917624592781,8.91248106956482,1667.14608669281,30.664804577827454,81.76197409629822,310.7981562614441,2.8194191455841064,0.3317310214042663,0.2561596930027008,20250619_072545i49fl_test-9c956fcc5834b41dfff132a1ac145424.csv
1,0,3,5,58,17,340,599,974,3345,896,589,15.915045871559633,35372,265.0,0.0,20.0,79.84057068824768,34.746719896793365,1.3364358246326449,0.86764857172966,9.86804723739624,1178.0416518449783,60.33124923706055,50.02391934394837,213.09610605239868,1.4599378108978271,0.3991770446300506,0.0587312765419483,20250619_072545i50fl_test-07af228f4138261140038a1cf187636b.csv
0,0,4,2,36,39,236,414,960,3727,1121,746,16.496207951070335,42982,221.0,1.0,23.0,80.00498473644257,43.72487545013428,2.902106940746308,4.545025527477264,3.0748337507247925,1842.0872688293457,93.06113123893738,26.634570956230164,207.6735444366932,2.7256860733032227,0.1084745973348617,0.3241138160228729,20250619_072545i51fl_test-a7e096f31437be23fa7ba332e6acb15b.csv
1,0,2,2,41,25,299,309,844,3410,1021,688,16.11021406727829,35955,268.0,2.0,21.0,55.74771404266357,39.75715070962906,1.5553578734397888,0.1689863763749599,1.489977091550827,1950.4355788230896,57.55727291107178,39.898523688316345,314.39963579177856,2.0807085037231445,0.4287786781787872,0.3464244306087494,20250619_072545i52fl_test-7aaf1ab135f3093bac959d3c39ed285a.csv
2,0,5,11,59,22,425,535,1019,3161,996,653,15.915902140672785,35052,206.0,4.0,21.0,91.63082122802734,30.162229239940643,6.652751564979553,3.4187334775924683,0.5961225181818008,1456.0751616954803,97.33139276504517,84.53097343444824,386.2174391746521,0.9710952639579772,0.7097795605659485,0.3735661506652832,20250619_072545i53fl_test-8d024b0e2799330aa39445daac71c5e2.csv
1,0,3,2,49,28,253,415,834,3603,1023,692,16.628990825688074,39761,268.0,2.0,21.0,75.90061485767365,30.33064514398575,3.664909601211548,2.1500782668590546,9.503578543663023,1128.2376199960709,3.856394812464714,44.72175240516663,273.3601748943329,3.132861852645874,0.7602102160453796,0.9043603539466858,20250619_072545i54fl_test-5fb2502f22fb5376c9366e559c5438ed.csv
0,0,2,5,35,35,294,513,1033,3544,963,664,16.080366972477066,29601,221.0,1.0,23.0,49.04963731765747,46.87609016895294,1.1222751438617706,0.6213940307497978,0.6288444995880127,1270.7092761993408,58.51154327392578,83.57231616973877,257.95342326164246,0.4813854396343231,0.172000378370285,0.1610914468765258,20250619_072545i55fl_test-64989814388dd3a7db1a69a5a08c03f7.csv
0,0,5,2,58,49,336,559,1052,3354,1066,661,15.885504587155964,31563,275.0,1.0,20.0,39.87522721290589,31.334676444530487,2.3544207215309143,2.1030549705028534,2.2268858551979065,1422.4631488323212,77.22283005714417,78.45720052719116,334.0598225593567,1.7746663093566897,0.8946218490600586,0.607984185218811,20250619_072545i56fl_test-809bff97040c1770660478e09caaa5dd.csv
1,0,4,15,56,22,438,774,1017,2913,797,563,15.550275229357798,29860,265.0,0.0,20.0,96.2320113182068,17.767733335494995,7.704355120658874,4.658269882202148,6.4157891273498535,1414.0933454036713,91.43083095550536,68.24657320976257,243.3201640844345,1.5203765630722046,0.9627915024757384,0.0361287295818328,20250619_072545i57fl_test-11d70d7b256cb4adc5b53da8a3c139d3.csv
0,0,4,7,62,33,360,527,1374,3043,1085,661,16.30256880733945,33968,251.0,2.0,23.0,53.72313171625137,21.292837262153625,8.952425718307495,7.523954510688782,9.673365354537964,1873.370051383972,44.13335621356964,62.3003363609314,324.6706247329712,0.775983452796936,0.9890202283859252,0.0101475482806563,20250619_072545i58fl_test-c0dfc3d89df90aadc7742f43fa6a2b1c.csv
1,0,4,11,36,11,425,991,946,2955,930,723,15.782874617737004,32519,203.0,3.0,20.0,88.01086366176605,9.481539763510227,8.0616956949234,7.293004393577576,0.1631243526935577,1013.2834315299988,41.48705005645752,81.10973238945007,269.8338210582733,3.381225109100342,0.6870967149734497,0.1858575046062469,20250619_072545i59fl_test-3951f98a6b8d1d79de2c5070a440139a.csv
0,0,2,6,54,33,469,501,960,4174,1129,579,15.631070336391437,19897,222.0,2.0,20.0,69.35818135738373,49.399641156196594,0.8912217617034912,8.800796270370483,4.193612635135651,1553.0720949172974,57.4975311756134,87.62184381484985,263.95835876464844,0.8907232284545898,0.0099083967506885,0.7408965826034546,20250619_072545i60fl_test-1868792b8bc9aab847620cfa0c1056a6.csv
1,0,6,7,71,28,320,447,1021,3772,1075,659,15.86954128440367,39444,265.0,0.0,20.0,35.74191898107529,42.81528472900391,8.447479605674744,9.83099639415741,6.515629887580872,1136.2775266170502,14.619936048984528,73.96625876426697,234.16306376457212,3.942042112350464,0.0122793372720479,0.428388774394989,20250619_072545i61fl_test-f72f4f32942818e0ce5fdaf21e142289.csv
0,0,1,6,42,26,296,374,1186,2997,1015,742,16.34415902140673,35448,286.0,4.0,23.0,98.741797208786,41.591449081897736,8.89223039150238,0.6991533190011978,4.723784327507019,1309.517502784729,29.648062586784363,1.5203953720629215,335.5547547340393,2.825021266937256,0.2476428151130676,0.5953776836395264,20250619_072545i62fl_test-48b3bc5effb7ad0bf97683b8d103951b.csv
0,0,3,5,51,22,332,371,1341,3218,1119,720,16.316880733944956,35049,251.0,2.0,23.0,75.36060035228729,29.05624717473984,5.022540092468262,6.628960371017456,2.235626131296158,1386.00891828537,55.44866323471069,72.4125862121582,350.2841114997864,3.3840882778167725,0.2347006797790527,0.2617564797401428,20250619_072545i63fl_test-e8c628fb077d15e69cee8601704793fb.csv
0,0,1,3,34,28,270,407,879,4061,1006,692,16.033639143730888,35052,222.0,2.0,20.0,74.79653716087341,40.35131633281708,3.7374502420425415,2.5978809595108032,7.08838164806366,1381.9854855537417,52.08925008773804,54.74253296852112,378.59511375427246,3.328998327255249,0.2684112191200256,0.3251067399978637,20250619_072545i65fl_test-dd1a63aa6f6c118d24974f53ca7bf1c8.csv
0,0,5,9,78,29,388,742,1029,3817,1161,610,15.375107033639145,23288,222.0,2.0,20.0,13.689865320920944,20.367092937231064,9.741995334625244,7.698804140090942,6.227200031280518,1196.268230676651,0.1181840896606445,18.05267184972763,206.00241869688037,0.204939067363739,0.9832372069358826,0.1988323628902435,20250619_072545i64fl_test-670de06d7be43f4a66dde2add427ee4c.csv
7,0,3,4,56,33,282,478,1003,3605,902,697,15.93571865443425,40191,218.0,2.0,23.0,11.972163915634155,19.59532216191292,5.678022503852844,9.107877016067505,5.311397314071655,1964.6937251091003,74.09852743148804,93.315851688385,328.6361336708069,3.268263101577759,0.1008609905838966,0.4748981595039367,20250619_072545i66fl_test-4460cf919566545f8d00ed0e4a910cbc.csv
2,0,3,5,63,39,384,477,942,3517,802,573,15.44770642201835,30330,206.0,4.0,21.0,96.49718523025513,31.81074172258377,7.973427772521973,1.8281203508377075,6.363208293914795,1569.49645280838,16.64094477891922,50.76293349266052,307.35647678375244,0.98849219083786,0.4388540387153625,0.8215087652206421,20250619_072545i67fl_test-0181be003630fc15272bb5e8c3bd63d7.csv
0,0,4,1,38,28,239,477,1003,3206,1035,768,16.582507645259938,42036,221.0,1.0,23.0,50.49334973096848,44.97117727994919,0.6685961037874222,7.725618481636047,1.5663251280784607,1398.7694084644318,92.25856065750122,23.562976717948917,239.8891121149063,3.9676475524902335,0.3866603672504425,0.1578913927078247,20250619_072545i68fl_test-764a24c5008935df5787287bec6adf97.csv
2,0,2,2,50,18,318,464,928,3095,982,677,16.13559633027523,32621,206.0,4.0,21.0,52.58350402116776,23.88759955763817,9.010961651802065,5.583360195159912,0.6375118345022202,1636.0003352165222,84.5082938671112,63.4776771068573,249.94674921035767,0.4637655913829803,0.4298562109470367,0.28044193983078,20250619_072545i69fl_test-8740aa09edf40a54420cc768ac789b1d.csv
1,0,5,7,61,58,347,526,1137,3733,967,750,15.705504587155962,35780,265.0,0.0,20.0,11.048744563013315,30.059632062911987,0.8536014705896378,6.37388288974762,2.8109827637672424,1274.2175459861755,48.51090610027313,34.10646617412567,353.5413980484009,1.2610102891921997,0.7961464524269104,0.0881120711565017,20250619_072545i70fl_test-860411b621321639fa62e09a4e8ab2d7.csv
0,0,1,3,60,27,296,573,1205,3011,987,821,16.515107033639143,47315,251.0,2.0,23.0,25.47946408390999,42.89341747760773,3.603536486625672,4.94584321975708,4.176430106163025,1683.5150122642517,36.27763092517853,94.76841688156128,202.25149393081665,1.721073865890503,0.7822855710983276,0.9162288904190063,20250619_072545i71fl_test-112fa801af9fefaa416de508ffcae4c6.csv
0,0,1,7,54,16,341,511,1072,3366,1322,679,16.661284403669725,32732,259.0,3.0,22.0,83.92879903316498,35.67252188920975,7.635498642921448,0.4017587751150131,4.664464890956879,1934.561371803284,70.22194266319275,76.79907083511353,298.12511801719666,1.5246211290359497,0.1516308933496475,0.2792172431945801,20250619_072545i72fl_test-1e2c6509d9c9d43ac169f37c5ef608fa.csv
